MJD mag magerr band
57197.0939 15.265 0.06 Swift_UVW1
57197.095 15.382 0.056 Swift_U
57197.0957 16.833 0.06 Swift_B
57197.0974 15.555 0.066 Swift_UVW2
57197.0993 16.925 0.08 Swift_V
57197.1005 15.24 0.062 Swift_UVM2
57199.7838 15.344 0.061 Swift_UVW1
57199.7854 15.5 0.061 Swift_U
57199.7866 16.888 0.061 Swift_B
57199.7898 15.606 0.067 Swift_UVW2
57199.7923 16.903 0.081 Swift_V
57199.7948 15.316 0.062 Swift_UVM2
57201.8162 15.403 0.061 Swift_UVW1
57201.8173 15.477 0.059 Swift_U
57201.8181 16.926 0.062 Swift_B
57201.8196 15.764 0.067 Swift_UVW2
57201.8215 16.945 0.085 Swift_V
57201.8228 15.464 0.063 Swift_UVM2
57205.6334 15.539 0.061 Swift_UVW1
57205.6349 15.591 0.063 Swift_U
57205.6356 17.029 0.066 Swift_B
57205.6374 15.816 0.067 Swift_UVW2
57205.6397 17.052 0.091 Swift_V
57205.6422 15.559 0.06 Swift_UVM2
57208.661 15.724 0.062 Swift_UVW1
57208.6618 15.767 0.064 Swift_U
57208.6623 17.129 0.067 Swift_B
57208.6638 16.006 0.068 Swift_UVW2
57208.665 17.173 0.096 Swift_V
57208.6673 15.736 0.061 Swift_UVM2
57211.6555 15.809 0.063 Swift_UVW1
57211.6564 15.841 0.065 Swift_U
57211.657 17.132 0.068 Swift_B
57211.6586 16.129 0.069 Swift_UVW2
57211.66 17.125 0.096 Swift_V
57211.6625 15.912 0.062 Swift_UVM2
57214.6686 15.924 0.066 Swift_UVW1
57214.67 15.902 0.065 Swift_U
57214.6709 17.178 0.067 Swift_B
57214.6755 17.243 0.096 Swift_V
57214.6771 15.978 0.07 Swift_UVM2
57214.7096 15.967 0.082 Swift_UVW1
57214.7106 15.936 0.087 Swift_U
57214.7111 17.146 0.099 Swift_B
57214.7125 16.345 0.087 Swift_UVW2
57214.7139 17.339 0.18 Swift_V
57214.7158 16.125 0.079 Swift_UVM2
57216.3607 15.961 0.063 Swift_U
57216.4941 15.928 0.063 Swift_U
57216.5786 16.433 0.079 Swift_UVW2
57216.7598 15.964 0.062 Swift_U
57217.2487 16.442 0.066 Swift_UVW2
57217.6434 16.485 0.09 Swift_UVW2
57219.7891 16.238 0.071 Swift_UVW1
57219.8033 16.653 0.096 Swift_UVW2
57220.5238 16.146 0.06 Swift_U
57220.5385 16.592 0.09 Swift_UVW2
57221.6795 16.282 0.075 Swift_UVW1
57221.6813 16.046 0.075 Swift_U
57221.6822 17.381 0.085 Swift_B
57221.6849 16.615 0.079 Swift_UVW2
57221.6876 17.436 0.14 Swift_V
57221.692 16.498 0.07 Swift_UVM2
57223.5083 16.411 0.067 Swift_UVW1
57223.5101 16.243 0.069 Swift_U
57223.511 17.364 0.071 Swift_B
57223.5133 16.813 0.074 Swift_UVW2
57223.5161 17.364 0.104 Swift_V
57223.5195 16.657 0.066 Swift_UVM2
57226.5148 16.677 0.064 Swift_UVW1
57226.5159 16.415 0.061 Swift_U
57226.5167 17.464 0.061 Swift_B
57226.5207 17.479 0.078 Swift_V
57226.5226 16.907 0.069 Swift_UVM2
57229.2644 16.741 0.072 Swift_UVW1
57229.2652 16.489 0.072 Swift_U
57229.2656 17.5 0.075 Swift_B
57229.2672 17.157 0.078 Swift_UVW2
57229.2682 17.721 0.126 Swift_V
57229.2707 16.99 0.069 Swift_UVM2
57232.8935 16.962 0.075 Swift_UVW1
57232.8946 16.552 0.073 Swift_U
57232.8951 17.546 0.075 Swift_B
57232.8963 17.47 0.082 Swift_UVW2
57232.8979 17.571 0.115 Swift_V
57232.8995 17.25 0.073 Swift_UVM2
57241.1186 17.226 0.07 Swift_UVW1
57241.1205 16.685 0.067 Swift_U
57241.1215 17.708 0.068 Swift_B
57241.1244 17.745 0.078 Swift_UVW2
57241.1273 17.714 0.099 Swift_V
57241.1316 17.618 0.07 Swift_UVM2
57244.8784 17.408 0.082 Swift_UVW1
57244.8801 16.801 0.075 Swift_U
57244.881 17.802 0.079 Swift_B
57244.8839 17.964 0.09 Swift_UVW2
57244.8864 17.717 0.12 Swift_V
57244.8908 17.7 0.079 Swift_UVM2
57248.4679 17.428 0.073 Swift_UVW1
57248.4693 16.853 0.069 Swift_U
57248.47 17.773 0.069 Swift_B
57248.4721 18.098 0.083 Swift_UVW2
57248.4741 17.548 0.092 Swift_V
57248.4772 17.822 0.072 Swift_UVM2
57250.7014 17.306 0.11 Swift_UVW1
57250.7027 16.852 0.102 Swift_U
57250.7034 17.575 0.101 Swift_B
57250.7054 18.003 0.125 Swift_UVW2
57250.7074 17.4 0.157 Swift_V
57250.7105 17.891 0.113 Swift_UVM2
57253.6325 17.462 0.202 Swift_V
57253.6341 17.749 0.141 Swift_UVM2
57253.6677 17.478 0.098 Swift_UVW1
57253.6969 16.73 0.095 Swift_U
57253.6973 17.823 0.107 Swift_B
57253.6979 18.141 0.14 Swift_UVW2
57255.6621 17.724 0.107 Swift_V
57255.6647 18.015 0.106 Swift_UVM2
57255.6895 17.501 0.077 Swift_UVW1
57255.6912 16.959 0.067 Swift_U
57255.6924 17.826 0.067 Swift_B
57255.695 18.221 0.086 Swift_UVW2
57259.3996 17.594 0.097 Swift_UVW1
57259.4007 17.021 0.088 Swift_U
57259.4013 17.948 0.093 Swift_B
57259.4036 18.412 0.115 Swift_UVW2
57259.405 17.916 0.158 Swift_V
57259.4084 18.048 0.097 Swift_UVM2
57262.7266 17.529 0.077 Swift_UVW1
57262.7274 17.123 0.074 Swift_U
57262.7278 17.957 0.075 Swift_B
57262.7291 18.348 0.09 Swift_UVW2
57262.7303 17.75 0.104 Swift_V
57262.7322 18.124 0.079 Swift_UVM2
57265.5583 17.492 0.083 Swift_UVW1
57265.56 17.158 0.082 Swift_U
57265.561 17.962 0.083 Swift_B
57265.5618 18.505 0.215 Swift_UVW2
57268.7831 17.477 0.086 Swift_UVW1
57268.7844 17.063 0.082 Swift_U
57268.785 18.016 0.087 Swift_B
57268.7862 18.17 0.098 Swift_UVW2
57268.7883 17.673 0.122 Swift_V
57268.7893 18.072 0.106 Swift_UVM2
57272.5685 17.657 0.118 Swift_V
57272.5701 17.807 0.112 Swift_UVM2
57272.6007 17.376 0.076 Swift_UVW1
57272.6022 16.993 0.07 Swift_U
57272.6034 17.917 0.071 Swift_B
57272.6061 18.205 0.09 Swift_UVW2
57272.873 17.354 0.09 Swift_UVW1
57272.8743 17.056 0.089 Swift_U
57272.8749 17.942 0.093 Swift_B
57272.8767 18.129 0.105 Swift_UVW2
57272.8787 17.77 0.144 Swift_V
57272.8813 17.899 0.106 Swift_UVM2
57277.3295 17.591 0.084 Swift_UVM2
57277.3518 17.159 0.07 Swift_UVW1
57277.354 17.028 0.066 Swift_U
57277.3553 17.818 0.065 Swift_B
57277.3583 17.825 0.076 Swift_UVW2
57277.362 17.69 0.085 Swift_V
57282.8742 17.494 0.086 Swift_UVM2
57282.8766 17.145 0.075 Swift_UVW1
57282.878 16.917 0.07 Swift_U
57282.8809 17.742 0.08 Swift_UVW2
57283.405 17.34 0.082 Swift_UVM2
57283.4068 17.111 0.074 Swift_UVW1
57283.4079 16.987 0.07 Swift_U
