MJD mag magerr band
57892.595 20.1 0.24 ATLAS_o
57896.56 19.58 0.09 ATLAS_o
57899.575 19.22 0.09 ATLAS_o
57900.575 19.21 0.11 ATLAS_o
57900.92 18.16 0.22 Johnson_V
57903.56 19.02 0.08 ATLAS_o
57904.56 19.04 0.1 ATLAS_o
57906.520000000004 18.92 0.02 ATLAS_o
57907.55 18.8 0.06 ATLAS_o
57910.5 18.49 0.05 ATLAS_o
57911.535 18.22 0.27 ATLAS_o
57912.55 18.32 0.1 ATLAS_o
57914.485 18.19 0.05 ATLAS_o
57915.55 18.09 0.07 ATLAS_o
57916.525 17.9 0.04 ATLAS_o
57920.39 17.74 0.2 Johnson_V
57925.465 17.47 0.01 ATLAS_o
57926.51 17.29 0.15 Johnson_V
57927.455 17.5 0.01 ATLAS_o
57929.455 17.4 0.01 ATLAS_o
57930.43 17.23 0.14 Johnson_V
57933.445 17.3 0.01 ATLAS_o
57937.435 17.21 0.02 ATLAS_o
57939.45 17.22 0.02 ATLAS_o
57941.435 17.15 0.03 ATLAS_o
57943.39 17.14 0.09 ATLAS_o
57945.445 17.01 0.01 ATLAS_o
57949.43 16.92 0.01 ATLAS_o
57951.44 16.87 0.02 ATLAS_o
57953.41 16.87 0.01 ATLAS_o
57955.395000000004 16.88 0.01 ATLAS_o
57957.395000000004 16.84 0.01 ATLAS_o
57959.395000000004 16.78 0.01 ATLAS_o
57961.805 16.89 0.05 Johnson_V
57963.725000000006 16.71 0.02 Johnson_B
57963.735 16.79 0.01 SDSS_g
57963.735 16.82 0.03 Johnson_V
57963.744999999995 16.84 0.01 SDSS_r
57963.755000000005 16.85 0.01 SDSS_i
57965.23 16.74 0.01 SDSS_g
57965.265 16.78 0.04 Johnson_V
57965.265 16.67 0.02 Johnson_B
57965.274999999994 16.84 0.01 SDSS_r
57965.274999999994 16.85 0.01 SDSS_i
57965.385 16.65 0.02 ATLAS_o
57966.22 16.77 0.05 Johnson_V
57966.22 16.67 0.02 Johnson_B
57966.23 16.73 0.01 SDSS_g
57966.24 16.77 0.01 SDSS_r
57966.24 16.8 0.01 SDSS_i
57967.29 16.77 0.05 Johnson_V
57967.3 16.73 0.01 SDSS_g
57967.375 16.65 0.01 ATLAS_o
57967.78 16.7 0.04 Johnson_B
57968.28 17.02 0.11 Johnson_R
57968.28 17.03 0.11 Johnson_I
57968.32 16.8 0.07 SDSS_i
57968.32 16.82 0.05 SDSS_r
57968.435 16.76 0.06 Johnson_V
57968.44 16.69 0.08 Johnson_B
57968.57 17.33 0.07 Swift_UVW2
57968.57 16.55 0.07 Swift_U
57968.57 17.04 0.06 Swift_UVM2
57968.57 16.94 0.06 Swift_UVW1
57969.369999999995 16.58 0.01 ATLAS_o
57970.28 16.92 0.06 Johnson_R
57970.28 16.8 0.06 Johnson_V
57970.78 16.71 0.03 Johnson_B
57971.285 16.9 0.04 Johnson_I
57971.74 16.66 0.06 Swift_U
57971.74 17.19 0.07 Swift_UVW1
57971.75 17.5 0.06 Swift_UVW2
57971.75 17.2 0.06 Swift_UVM2
57971.78 16.75 0.01 SDSS_g
57971.78 16.69 0.02 Johnson_B
57971.78 16.77 0.02 Johnson_V
57971.78 16.9 0.04 Johnson_R
57971.79 16.78 0.01 SDSS_i
57971.79 16.74 0.01 SDSS_r
57972.35 16.59 0.01 ATLAS_o
57973.27 16.92 0.06 Johnson_R
57973.765 16.72 0.02 Johnson_B
57973.77 16.83 0.03 Johnson_V
57973.774999999994 16.88 0.05 Johnson_I
57973.78 16.76 0.01 SDSS_g
57973.79 16.73 0.01 SDSS_r
57973.79 16.75 0.01 SDSS_i
57974.305 16.54 0.01 ATLAS_o
57974.774999999994 16.86 0.04 Johnson_R
57974.774999999994 16.74 0.03 Johnson_V
57974.774999999994 16.74 0.02 Johnson_B
57975.23 16.77 0.01 SDSS_g
57975.24 16.73 0.01 SDSS_r
57975.25 16.82 0.01 SDSS_i
57976.27 16.81 0.05 Johnson_R
57976.740000000005 16.7 0.02 Johnson_B
57976.759999999995 16.74 0.03 Johnson_V
57976.78 16.76 0.04 Johnson_I
57977.23 16.76 0.01 SDSS_g
57977.24 16.72 0.01 SDSS_r
57977.24 16.72 0.01 SDSS_i
57977.29 16.86 0.06 Johnson_R
57977.32 17.27 0.07 Swift_UVW1
57977.32 16.75 0.07 Swift_U
57977.32 17.66 0.07 Swift_UVW2
57977.32 17.35 0.06 Swift_UVM2
57977.755000000005 16.72 0.02 Johnson_B
57977.76 16.76 0.04 Johnson_V
57978.23 16.78 0.01 SDSS_g
57978.24 16.74 0.01 SDSS_i
57978.24 16.72 0.01 SDSS_r
57978.345 16.59 0.01 ATLAS_o
57979.23 16.8 0.01 SDSS_g
57979.24 16.76 0.01 SDSS_r
57979.24 16.92 0.05 Johnson_R
57979.24 16.79 0.01 SDSS_i
57979.240000000005 16.75 0.02 Johnson_B
57979.245 16.75 0.04 Johnson_V
57979.26 17.52 0.06 Swift_UVM2
57979.26 16.76 0.07 Swift_U
57979.26 17.91 0.08 Swift_UVW2
57979.26 17.28 0.07 Swift_UVW1
57979.759999999995 16.79 0.04 Johnson_I
57980.25 16.76 0.02 Johnson_B
57980.28 16.84 0.05 Johnson_R
57980.35 16.61 0.01 ATLAS_o
57980.73 16.77 0.03 Johnson_V
57980.73 16.81 0.01 SDSS_g
57980.74 16.76 0.01 SDSS_r
57980.744999999995 16.76 0.01 SDSS_i
57981.22 16.76 0.03 Johnson_B
57982.23 16.92 0.05 Johnson_R
57982.35 16.6 0.01 ATLAS_o
57982.725000000006 16.84 0.02 Johnson_B
57982.73 16.83 0.04 Johnson_V
57982.755 16.88 0.04 Johnson_I
57983.75 16.82 0.02 Johnson_B
57983.75 16.88 0.03 Johnson_R
57983.75 16.78 0.03 Johnson_V
57984.34 16.74 0.01 ATLAS_c
57984.74 16.83 0.04 Johnson_I
57985.24 16.89 0.05 Johnson_R
57985.705 16.85 0.02 Johnson_B
57985.715 16.85 0.03 Johnson_V
57986.21 16.88 0.01 SDSS_g
57986.22 16.77 0.01 SDSS_r
57986.22 16.73 0.01 SDSS_i
57987.705 16.97 0.04 Johnson_R
57987.725 16.89 0.02 Johnson_B
57987.729999999996 16.83 0.03 Johnson_V
57988.21 16.87 0.01 SDSS_g
57988.22 16.79 0.01 SDSS_r
57988.22 16.68 0.01 SDSS_i
57988.240000000005 16.94 0.04 Johnson_I
57988.325 16.77 0.01 ATLAS_c
57988.78 16.87 0.04 Johnson_V
57989.21 16.9 0.01 SDSS_g
57989.22 16.84 0.01 SDSS_r
57989.22 16.74 0.01 SDSS_i
57989.68 16.9 0.02 Johnson_B
