MJD mag magerr band
56913.406 17.7 0.35 Johnson_V
56979.259 18.3 0.38 Johnson_V
57245.499 18.3 0.46 Johnson_V
57367.046 18.7 0.46 Johnson_V
57573.304 18.1 0.42 Johnson_V
57606.162 18.4 0.35 Johnson_V
57641.274 18.9 0.51 Johnson_V
57660.088 18.6 0.45 Johnson_V
57681.314 18.4 0.4 Johnson_V
57687.281 18.4 0.37 Johnson_V
57708.205 18.3 0.39 Johnson_V
57979.492 18.4 0.46 Johnson_V
58012.165 18.8 0.5 Johnson_V
58017.225 18.6 0.45 Johnson_V
58047.304 17.6 0.25 Johnson_V
58071.224 18.2 0.33 Johnson_V
58099.04 17.7 0.27 Johnson_V
58222.4 17.7 0.18 SDSS_g
58227.41 17.2 0.12 SDSS_g
58230.143 17.2 0.14 SDSS_g
58230.402 17.5 0.16 SDSS_g
58235.127 17.5 0.13 SDSS_g
58243.406 17.1 0.24 Johnson_V
58249.809 17.0 0.06 Swift_B
58249.809 17.2 0.05 Swift_U
58249.813 16.5 0.08 Johnson_V
58250.37 16.6 0.02 Johnson_V
58251.083 17.5 0.18 SDSS_g
58252.375 17.4 0.13 SDSS_g
58254.077 17.5 0.11 SDSS_g
58254.424 17.7 0.17 SDSS_g
58255.073 17.5 0.11 SDSS_g
58255.36 17.7 0.2 SDSS_g
58255.387 16.9 0.06 Swift_B
58255.387 17.1 0.05 Swift_U
58255.391 16.6 0.09 Johnson_V
58256.068 17.1 0.02 Swift_B
58256.07 16.7 0.01 Johnson_V
58256.072 16.6 0.01 SDSS_r
58256.074 16.1 0.01 SDSS_i
58256.352 17.6 0.14 SDSS_g
58256.397 16.6 0.02 Johnson_V
58257.116 17.2 0.05 Swift_U
58257.116 16.9 0.06 Swift_B
58257.12 16.5 0.09 Johnson_V
58257.363 17.5 0.13 SDSS_g
58258.336 17.5 0.13 SDSS_g
58258.367 17.1 0.01 Swift_B
58258.369 16.7 0.01 Johnson_V
58258.371 16.5 0.01 SDSS_r
58258.373 16.1 0.01 SDSS_i
58259.336 17.6 0.12 SDSS_g
58259.502 17.1 0.06 Swift_U
58259.503 17.1 0.07 Swift_B
58259.505 16.7 0.11 Johnson_V
58261.628 17.1 0.05 Swift_U
58261.629 17.1 0.06 Swift_B
58261.633 16.6 0.09 Johnson_V
58262.378 17.1 0.02 Swift_B
58262.38 16.6 0.02 Johnson_V
58262.421 16.5 0.01 SDSS_r
58262.424 16.7 0.01 Johnson_V
58262.426 17.1 0.01 Swift_B
58263.304 17.1 0.01 Swift_B
58263.308 16.6 0.01 Johnson_V
58263.311 16.9 0.01 SDSS_g
58263.314 16.1 0.01 SDSS_i
