MJD mag magerr band
56875.197689999826 20.16 0.05 Gaia_G
56968.8836099999 20.21 0.05 Gaia_G
57042.004050000105 20.19 0.05 Gaia_G
57056.506599999964 20.16 0.05 Gaia_G
57056.58059999999 20.22 0.05 Gaia_G
57170.870560000185 20.26 0.05 Gaia_G
57330.35086000012 20.25 0.05 Gaia_G
57330.424860000145 20.13 0.05 Gaia_G
57350.85323000001 20.46 0.05 Gaia_G
57350.92723000003 20.25 0.05 Gaia_G
57421.54211999988 20.45 0.05 Gaia_G
57429.86977999983 20.47 0.05 Gaia_G
57430.04593000002 20.41 0.05 Gaia_G
57430.119930000044 20.46 0.05 Gaia_G
57527.236120000016 20.3 0.05 Gaia_G
57527.41228999989 20.43 0.05 Gaia_G
57903.090139999986 20.42 0.05 Gaia_G
58603.71020000009 20.28 0.05 Gaia_G
58617.14160999982 20.29 0.05 Gaia_G
58790.52957999986 20.21 0.05 Gaia_G
58803.79211999988 20.23 0.05 Gaia_G
58875.608899999876 20.29 0.05 Gaia_G
58890.69539000001 20.41 0.05 Gaia_G
58962.20671000006 20.26 0.05 Gaia_G
58962.280720000155 20.33 0.05 Gaia_G
59066.3805999998 20.12 0.05 Gaia_G
59239.77491000015 19.64 0.05 Gaia_G
59334.95864999993 19.51 0.05 Gaia_G
59335.13481000019 19.51 0.05 Gaia_G
59349.14013000019 19.41 0.05 Gaia_G
59425.34708999982 19.28 0.05 Gaia_G
59425.421109999996 19.2 0.05 Gaia_G
59425.671300000045 19.17 0.05 Gaia_G
59441.10501000006 19.09 0.05 Gaia_G
59441.17903000023 19.02 0.05 Gaia_G
59441.35519000003 19.14 0.05 Gaia_G
59441.42920000013 19.09 0.05 Gaia_G
59513.614399999846 18.86 0.05 Gaia_G
59513.68838999979 18.89 0.05 Gaia_G
59513.86455000006 18.9 0.05 Gaia_G
59513.93855000008 18.86 0.05 Gaia_G
59527.44418000011 18.83 0.05 Gaia_G
59527.62032000022 18.87 0.05 Gaia_G
59527.69432999985 18.85 0.05 Gaia_G
59564.6718100002 18.8 0.05 Gaia_G
59614.066589999944 18.83 0.05 Gaia_G
59614.140589999966 18.8 0.05 Gaia_G
59709.67755000014 18.9 0.05 Gaia_G
59709.75155999977 18.91 0.05 Gaia_G
59728.93049000017 18.92 0.05 Gaia_G
59729.004499999806 18.9 0.05 Gaia_G
59763.48551000003 18.94 0.05 Gaia_G
59763.6616799999 19.0 0.05 Gaia_G
59887.98543999996 19.03 0.05 Gaia_G
59888.16159000015 18.99 0.05 Gaia_G
59888.23559000017 18.99 0.05 Gaia_G
59909.163389999885 19.14 0.05 Gaia_G
59940.39458000008 18.99 0.05 Gaia_G
59940.4685800001 18.95 0.05 Gaia_G
59979.425720000174 19.07 0.05 Gaia_G
59979.60185999982 19.01 0.05 Gaia_G
59979.67586999992 19.07 0.05 Gaia_G
59987.355520000216 19.1 0.05 Gaia_G
59987.42952999985 19.13 0.05 Gaia_G
60085.04665999999 19.17 0.05 Gaia_G
60108.79529999988 19.1 0.05 Gaia_G
60140.03531999979 19.0 0.05 Gaia_G
60140.21149000013 19.09 0.05 Gaia_G
60263.45934000006 18.85 0.05 Gaia_G
60263.53334000008 18.84 0.05 Gaia_G
60289.02749999985 18.98 0.05 Gaia_G
60316.01458000019 18.99 0.05 Gaia_G
