MJD mag magerr band
55423.878515 17.236000000000004 0.01 Johnson_U
55423.878515 17.968000000000004 0.01 Johnson_B
55455.890345 16.876000000000005 0.01 Johnson_U
55455.890345 17.608000000000004 0.01 Johnson_B
55455.890345 17.336000000000002 0.01 Johnson_V
55459.801298 17.110000000000003 0.01 Johnson_R
55470.429803 16.646000000000004 0.01 Johnson_U
55470.429803 17.585000000000004 0.01 Johnson_B
55470.429803 17.449 0.01 Johnson_V
55470.429803 17.181000000000004 0.01 Johnson_R
55474.3985 16.667 0.01 Johnson_U
55482.570479 17.214000000000002 0.01 Johnson_R
55482.570479 17.460000000000004 0.01 Johnson_V
55482.570479 16.765000000000004 0.01 Johnson_U
55482.570479 17.651000000000003 0.01 Johnson_B
55489.359008 16.787000000000003 0.02 Johnson_U
55489.359008 17.629000000000005 0.02 Johnson_B
55489.359008 17.426000000000002 0.01 Johnson_V
55489.359008 17.179000000000002 0.02 Johnson_R
55501.379384 17.021000000000004 0.02 Johnson_I
55501.379384 16.312000000000005 0.02 Johnson_J
55501.379384 15.607000000000003 0.02 Johnson_H
55502.379077 17.203000000000003 0.01 Johnson_R
55502.379077 16.798000000000002 0.02 Johnson_U
55502.379077 17.707000000000004 0.01 Johnson_B
55502.379077 17.471000000000004 0.01 Johnson_V
55508.320694 17.540000000000003 0.01 Johnson_V
55508.320694 17.248000000000005 0.01 Johnson_R
55508.320694 16.842000000000002 0.01 Johnson_U
55508.320694 17.718000000000004 0.01 Johnson_B
55511.328194 16.820000000000004 0.01 Johnson_U
55511.328194 17.684000000000005 0.01 Johnson_B
55511.328194 17.471000000000004 0.01 Johnson_V
55511.328194 17.214000000000002 0.01 Johnson_R
55523.378645 16.908000000000005 0.01 Johnson_U
55523.378645 17.740000000000002 0.01 Johnson_B
55523.378645 17.563000000000002 0.01 Johnson_V
55523.378645 17.26 0.01 Johnson_R
55529.308232 16.908000000000005 0.01 Johnson_U
55529.308232 17.774000000000004 0.01 Johnson_B
55529.308232 17.540000000000003 0.01 Johnson_V
55529.308232 17.248000000000005 0.01 Johnson_R
55530.371684 15.331000000000003 0.02 Johnson_H
55530.371684 16.000000000000004 0.04 Johnson_J
55530.371684 17.029000000000003 0.03 Johnson_I
55539.328019 16.986000000000004 0.02 Johnson_U
55539.328019 17.842000000000002 0.01 Johnson_B
55539.328019 17.609 0.01 Johnson_V
55539.328019 17.297000000000004 0.01 Johnson_R
55541.328608 17.064000000000004 0.01 Johnson_U
55541.328608 17.886000000000003 0.01 Johnson_B
55541.328608 17.657000000000004 0.01 Johnson_V
55541.328608 17.345000000000002 0.01 Johnson_R
55549.410362 17.087000000000003 0.05 Johnson_U
55549.410362 17.92 0.02 Johnson_B
55549.410362 17.333000000000002 0.02 Johnson_R
55551.352004 15.275000000000002 0.02 Johnson_H
55551.352004 17.038000000000004 0.03 Johnson_I
55551.352004 16.090000000000003 0.03 Johnson_J
55575.339824 15.199000000000002 0.02 Johnson_H
55575.339824 17.076000000000004 0.03 Johnson_I
55575.339824 16.084000000000003 0.02 Johnson_J
55680.750293 17.805000000000003 0.02 Johnson_U
55680.750293 18.474000000000004 0.01 Johnson_B
55680.750293 18.316000000000003 0.02 Johnson_V
55680.750293 17.883000000000003 0.01 Johnson_R
55693.730663 17.880000000000003 0.02 Johnson_U
55693.730663 18.598000000000003 0.01 Johnson_B
55693.730663 18.381000000000004 0.01 Johnson_V
55693.730663 17.951000000000004 0.01 Johnson_R
55729.69916 17.716000000000005 0.02 Johnson_I
55729.69916 16.446 0.01 Johnson_J
55729.69916 15.435000000000002 0.02 Johnson_H
55750.620533 18.861000000000004 0.01 Johnson_B
55750.620533 18.121000000000002 0.02 Johnson_R
55750.620533 18.090000000000003 0.01 Johnson_U
55750.620533 18.695000000000004 0.01 Johnson_V
55755.609374 17.909000000000002 0.02 Johnson_I
55755.609374 16.587000000000003 0.02 Johnson_J
55755.609374 15.455000000000002 0.02 Johnson_H
55806.468605 18.402000000000005 0.02 Johnson_U
55806.468605 19.090000000000003 0.01 Johnson_B
55806.468605 18.870000000000005 0.01 Johnson_V
55806.468605 18.344000000000005 0.03 Johnson_R
55819.640252 16.814000000000004 0.02 Johnson_J
55819.640252 18.113000000000003 0.02 Johnson_I
55819.640252 15.650000000000002 0.02 Johnson_H
55841.371244 18.620000000000005 0.01 Johnson_R
55841.371244 19.135 0.02 Johnson_V
55841.371244 19.338000000000005 0.02 Johnson_B
55841.371244 18.562000000000005 0.02 Johnson_U
55850.530886 18.261000000000003 0.02 Johnson_I
55850.530886 16.929000000000002 0.02 Johnson_J
55850.530886 15.753000000000004 0.02 Johnson_H
55895.319779 18.705000000000002 0.02 Johnson_U
55895.319779 19.421000000000003 0.01 Johnson_B
55895.319779 19.269000000000002 0.02 Johnson_V
55895.319779 18.796000000000003 0.02 Johnson_R
56086.679786 19.013 0.02 Johnson_I
56086.679786 17.719000000000005 0.02 Johnson_J
56086.679786 16.430000000000003 0.02 Johnson_H
56145.629192 17.846000000000004 0.03 Johnson_J
56145.629192 16.539 0.01 Johnson_H
56145.629192 19.103 0.02 Johnson_I
56177.64824 19.322000000000003 0.02 Johnson_I
56177.64824 18.124000000000002 0.02 Johnson_J
56177.64824 16.791000000000004 0.02 Johnson_H
56210.461268 19.497000000000003 0.02 Johnson_I
56210.461268 18.224000000000004 0.02 Johnson_J
56210.461268 16.907000000000004 0.03 Johnson_H
56312.301233 20.790000000000003 0.03 Johnson_B
56312.301233 20.602000000000004 0.02 Johnson_V
56312.301233 20.015000000000004 0.03 Johnson_R
56440.679378 20.164 0.04 Johnson_R
56440.679378 21.021000000000004 0.06 Johnson_B
56440.679378 20.952 0.04 Johnson_V
56589.500102 21.843000000000004 0.04 Johnson_B
56589.500102 21.494000000000003 0.02 Johnson_V
56589.500102 21.243000000000002 0.06 Johnson_U
56589.500102 21.422000000000004 0.03 Johnson_R
