MJD mag magerr band
56677.66667829 12.07 0.025 WISE_W1
56677.66667829 12.141 0.039 WISE_W2
56677.79834587 12.019 0.02 WISE_W1
56677.79834587 11.956 0.037 WISE_W2
56677.93014076 12.0 0.034 WISE_W2
56677.93014076 11.968 0.019 WISE_W1
56677.99597461 12.0 0.021 WISE_W1
56677.99597461 11.838 0.037 WISE_W2
56678.06193572 12.052 0.02 WISE_W1
56678.06193572 11.999 0.038 WISE_W2
56678.19360334 12.013 0.038 WISE_W2
56678.19360334 12.015 0.027 WISE_W1
56678.25956446 12.028 0.02 WISE_W1
56678.25956446 11.992 0.034 WISE_W2
56678.32539829 12.04 0.02 WISE_W1
56678.32539829 12.034 0.036 WISE_W2
56678.39123208 11.977 0.033 WISE_W2
56678.39123208 12.109 0.024 WISE_W1
56678.39135944 12.055 0.038 WISE_W2
56678.39135944 12.037 0.024 WISE_W1
56678.45719324 12.167 0.04 WISE_W2
56678.45719324 12.053 0.022 WISE_W1
56678.58898818 12.039 0.023 WISE_W1
56678.58898818 12.183 0.041 WISE_W2
56678.65482198 12.051 0.038 WISE_W2
56678.65482198 12.049 0.021 WISE_W1
56678.72065576 12.044 0.038 WISE_W2
56678.72065576 12.033 0.028 WISE_W1
56678.78661692 12.031 0.022 WISE_W1
56678.78661692 12.173 0.042 WISE_W2
56678.85245072 12.033 0.021 WISE_W1
56678.85245072 12.09 0.038 WISE_W2
56678.91828451 12.04 0.043 WISE_W2
56678.91828451 11.968 0.023 WISE_W1
56679.05007946 12.055 0.034 WISE_W2
56679.05007946 12.104 0.023 WISE_W1
56679.31366931 11.934 0.025 WISE_W1
56679.31366931 12.023 0.034 WISE_W2
56681.28995674 12.05 0.02 WISE_W1
56681.28995674 12.161 0.05 WISE_W2
56681.35579049 12.048 0.036 WISE_W2
56681.35579049 12.146 0.025 WISE_W1
56681.35591789 12.055 0.025 WISE_W1
56681.35591789 12.061 0.037 WISE_W2
56681.42175164 12.074 0.021 WISE_W1
56681.42175164 12.132 0.054 WISE_W2
56681.48758543 12.096 0.04 WISE_W2
56681.48758543 12.018 0.022 WISE_W1
56681.55354659 12.093 0.036 WISE_W2
56681.55354659 12.105 0.023 WISE_W1
56681.61938038 12.002 0.022 WISE_W1
56681.61938038 12.063 0.04 WISE_W2
56681.68521417 12.075 0.022 WISE_W1
56681.68521417 12.145 0.047 WISE_W2
56681.75117532 12.027 0.035 WISE_W2
56681.75117532 11.951 0.023 WISE_W1
56681.81700912 12.1 0.042 WISE_W2
56681.81700912 12.115 0.023 WISE_W1
56681.94880406 12.135 0.037 WISE_W2
56681.94880406 12.026 0.024 WISE_W1
56682.21226655 12.053 0.02 WISE_W1
56682.21226655 12.066 0.033 WISE_W2
56857.29593677 12.033 0.022 WISE_W1
56857.29593677 12.078 0.037 WISE_W2
56857.42747652 12.119 0.025 WISE_W1
56857.42747652 12.123 0.037 WISE_W2
56857.55901617 12.125 0.025 WISE_W1
56857.55901617 12.056 0.043 WISE_W2
56857.6905559 12.084 0.039 WISE_W2
56857.6905559 11.96 0.026 WISE_W1
56857.75638946 11.976 0.045 WISE_W2
56857.75638946 12.093 0.023 WISE_W1
56857.82222296 12.034 0.024 WISE_W1
56857.82222296 12.059 0.038 WISE_W2
56857.8879292 12.055 0.038 WISE_W2
56857.8879292 12.057 0.024 WISE_W1
56857.95376275 12.121 0.023 WISE_W1
56857.95376275 12.087 0.046 WISE_W2
56858.01946899 11.987 0.034 WISE_W2
56858.01946899 11.98 0.025 WISE_W1
56858.01959635 12.141 0.042 WISE_W2
