MJD mag magerr band
56781.63088527 12.844 0.058 WISE_W2
56781.63088527 13.07 0.029 WISE_W1
56781.76255282 12.71 0.051 WISE_W2
56781.76255282 12.974 0.029 WISE_W1
56781.89409307 12.773 0.062 WISE_W2
56781.89409307 13.011 0.034 WISE_W1
56781.95992679 12.731 0.05 WISE_W2
56781.95992679 13.077 0.035 WISE_W1
56782.02576058 13.11 0.036 WISE_W1
56782.02576058 12.806 0.062 WISE_W2
56782.09159435 13.032 0.031 WISE_W1
56782.09159435 12.808 0.192 WISE_W2
56782.15742808 13.227 0.031 WISE_W1
56782.15742808 12.946 0.06 WISE_W2
56782.22326186 12.646 0.05 WISE_W2
56782.22326186 13.005 0.031 WISE_W1
56782.28896828 13.005 0.03 WISE_W1
56782.28896828 12.747 0.06 WISE_W2
56782.354802 12.997 0.039 WISE_W1
56782.354802 12.642 0.048 WISE_W2
56782.42063579 13.052 0.028 WISE_W1
56782.42063579 12.83 0.07 WISE_W2
56782.48646959 13.057 0.028 WISE_W1
56782.48646959 12.802 0.053 WISE_W2
56782.55230337 13.039 0.031 WISE_W1
56782.55230337 12.665 0.049 WISE_W2
56782.61800973 12.824 0.057 WISE_W2
56782.61800973 13.134 0.032 WISE_W1
56782.6181371 12.669 0.052 WISE_W2
56782.6181371 12.998 0.03 WISE_W1
56782.68384347 12.794 0.063 WISE_W2
56782.68384347 13.004 0.027 WISE_W1
56782.74967725 13.005 0.027 WISE_W1
56782.74967725 12.746 0.055 WISE_W2
56782.81551102 12.92 0.028 WISE_W1
56782.81551102 12.684 0.051 WISE_W2
56782.8813448 13.041 0.031 WISE_W1
56782.8813448 12.86 0.056 WISE_W2
56782.94717858 12.756 0.054 WISE_W2
56782.94717858 13.029 0.027 WISE_W1
56783.012885 12.954 0.057 WISE_W2
56783.012885 13.293 0.033 WISE_W1
56783.01301231 13.073 0.076 WISE_W2
56783.01301231 13.34 0.034 WISE_W1
56783.07871877 13.304 0.033 WISE_W1
56783.07871877 13.038 0.065 WISE_W2
56783.1445525 13.034 0.027 WISE_W1
56783.1445525 12.748 0.078 WISE_W2
56783.21038624 13.056 0.028 WISE_W1
56783.21038624 12.732 0.052 WISE_W2
56783.27622001 12.993 0.028 WISE_W1
56783.27622001 12.699 0.049 WISE_W2
56783.40776078 12.989 0.049 WISE_W1
56783.40776078 12.791 0.058 WISE_W2
56783.53942824 13.043 0.029 WISE_W1
56783.53942824 12.723 0.051 WISE_W2
56783.6710958 12.948 0.049 WISE_W1
56783.6710958 12.699 0.051 WISE_W2
56784.7898877 12.819 0.067 WISE_W2
56784.7898877 12.991 0.034 WISE_W1
56784.92142789 12.848 0.087 WISE_W2
56784.92142789 12.959 0.029 WISE_W1
56784.98726167 12.785 0.051 WISE_W2
56784.98726167 13.043 0.03 WISE_W1
56785.05309545 13.011 0.03 WISE_W1
56785.05309545 12.94 0.069 WISE_W2
56785.11892922 13.035 0.035 WISE_W1
56785.11892922 12.724 0.053 WISE_W2
56785.18463554 13.127 0.037 WISE_W1
56785.18463554 12.744 0.061 WISE_W2
56785.25046932 13.06 0.03 WISE_W1
56785.25046932 12.625 0.06 WISE_W2
56785.31630306 12.753 0.053 WISE_W2
56785.31630306 12.982 0.035 WISE_W1
56785.38213683 13.067 0.032 WISE_W1
56785.38213683 12.845 0.056 WISE_W2
56785.44797057 13.016 0.028 WISE_W1
56785.44797057 12.708 0.051 WISE_W2
56785.51366793 12.991 0.059 WISE_W2
56785.51366793 13.378 0.035 WISE_W1
56785.51379524 12.987 0.029 WISE_W1
56785.51379524 12.79 0.051 WISE_W2
56785.57950159 12.704 0.056 WISE_W2
56785.57950159 13.041 0.028 WISE_W1
56785.6453353 12.816 0.057 WISE_W2
56785.6453353 13.127 0.029 WISE_W1
56785.711169 12.691 0.055 WISE_W2
56785.711169 13.025 0.028 WISE_W1
56785.77700272 12.793 0.058 WISE_W2
56785.77700272 13.107 0.029 WISE_W1
56785.84283638 12.742 0.056 WISE_W2
56785.84283638 13.037 0.03 WISE_W1
56785.90854273 12.727 0.052 WISE_W2
56785.90854273 13.036 0.031 WISE_W1
56785.97437644 13.014 0.028 WISE_W1
56785.97437644 12.835 0.077 WISE_W2
56786.0402101 12.707 0.048 WISE_W2
56786.0402101 13.0 0.028 WISE_W1
56786.10604382 12.708 0.05 WISE_W2
56786.10604382 13.058 0.029 WISE_W1
56786.17187748 12.739 0.059 WISE_W2
56786.17187748 13.078 0.033 WISE_W1
56786.23758388 12.607 0.047 WISE_W2
56786.23758388 13.01 0.027 WISE_W1
56786.30341749 13.04 0.028 WISE_W1
56786.30341749 12.738 0.051 WISE_W2
56786.43508491 13.359 0.079 WISE_W2
56786.43508491 13.661 0.038 WISE_W1
56786.56662492 12.659 0.048 WISE_W2
56786.56662492 12.988 0.03 WISE_W1
56786.56675228 13.365 0.038 WISE_W1
56786.56675228 13.036 0.074 WISE_W2
56786.69829225 13.018 0.027 WISE_W1
56786.69829225 12.687 0.048 WISE_W2
56972.73148999 12.706 0.055 WISE_W2
56972.73148999 13.03 0.028 WISE_W1
56972.86303016 13.064 0.03 WISE_W1
56972.86303016 12.772 0.053 WISE_W2
56972.99444297 13.029 0.03 WISE_W1
56972.99444297 12.81 0.053 WISE_W2
56972.99457034 13.005 0.043 WISE_W1
56972.99457034 12.944 0.062 WISE_W2
56973.06027667 13.019 0.029 WISE_W1
56973.06027667 12.737 0.053 WISE_W2
56973.25752328 13.144 0.037 WISE_W1
56973.25752328 12.932 0.062 WISE_W2
56973.3232297 12.811 0.061 WISE_W2
56973.3232297 13.076 0.029 WISE_W1
56973.38893613 13.105 0.035 WISE_W1
56973.38893613 12.8 0.056 WISE_W2
56973.45464256 12.84 0.053 WISE_W2
56973.45464256 13.135 0.04 WISE_W1
56973.45476987 13.077 0.03 WISE_W1
56973.45476987 12.814 0.055 WISE_W2
56973.58618269 13.061 0.028 WISE_W1
56973.58618269 12.769 0.063 WISE_W2
