MJD mag magerr band
56956.29559066 13.827 0.122 WISE_W2
56956.29559066 13.945 0.047 WISE_W1
56956.42713075 14.143 0.054 WISE_W1
56956.42713075 13.908 0.127 WISE_W2
56956.5586708 14.082 0.051 WISE_W1
56956.5586708 13.794 0.124 WISE_W2
56956.69008353 13.924 0.152 WISE_W2
56956.69008353 14.086 0.05 WISE_W1
56956.69021089 13.692 0.103 WISE_W2
56956.69021089 14.066 0.059 WISE_W1
56956.75591728 13.724 0.109 WISE_W2
56956.75591728 14.053 0.055 WISE_W1
56956.82162358 14.015 0.056 WISE_W1
56956.82162358 13.752 0.107 WISE_W2
56956.88745728 13.618 0.12 WISE_W2
56956.88745728 14.079 0.049 WISE_W1
56956.95316367 13.188 0.127 WISE_W2
56956.95316367 14.043 0.067 WISE_W1
56957.01887006 13.721 0.123 WISE_W2
56957.01887006 14.107 0.055 WISE_W1
56957.01899737 13.831 0.12 WISE_W2
56957.01899737 14.135 0.071 WISE_W1
56957.08470376 13.797 0.137 WISE_W2
56957.08470376 14.106 0.048 WISE_W1
56957.1504101 13.856 0.149 WISE_W2
56957.1504101 14.215 0.055 WISE_W1
56957.21624376 13.654 0.103 WISE_W2
56957.21624376 14.133 0.058 WISE_W1
56957.28195015 14.001 0.05 WISE_W1
56957.28195015 13.703 0.11 WISE_W2
56957.34765645 14.186 0.056 WISE_W1
56957.34765645 13.775 0.116 WISE_W2
56957.41349015 13.625 0.113 WISE_W2
56957.41349015 14.105 0.053 WISE_W1
56957.54490289 13.809 0.131 WISE_W2
56957.54490289 14.056 0.051 WISE_W1
56957.6107366 14.101 0.051 WISE_W1
56957.6107366 13.823 0.147 WISE_W2
56957.67644299 14.006 0.208 WISE_W2
56957.67644299 14.351 0.077 WISE_W1
56957.80798308 13.953 0.052 WISE_W1
56957.80798308 13.752 0.151 WISE_W2
56957.93952317 13.464 0.106 WISE_W2
56957.93952317 14.108 0.054 WISE_W1
57123.88772892 13.937 0.157 WISE_W2
57123.88772892 14.032 0.083 WISE_W1
57124.01901451 13.986 0.054 WISE_W1
57124.01901451 13.786 0.117 WISE_W2
57124.01914183 13.904 0.152 WISE_W2
57124.01914183 14.16 0.056 WISE_W1
57124.15042741 13.844 0.19 WISE_W2
57124.15042741 14.154 0.058 WISE_W1
57124.21600653 14.069 0.051 WISE_W1
57124.21600653 13.738 0.113 WISE_W2
57124.281713 14.117 0.058 WISE_W1
57124.281713 13.805 0.117 WISE_W2
57124.34729215 13.853 0.135 WISE_W2
57124.34729215 14.024 0.056 WISE_W1
57124.41299863 14.025 0.051 WISE_W1
57124.41299863 13.86 0.147 WISE_W2
57124.54428418 14.116 0.053 WISE_W1
57124.54428418 13.547 0.106 WISE_W2
57124.60986329 13.887 0.086 WISE_W1
57124.60986329 13.775 0.128 WISE_W2
57124.67556966 13.784 0.108 WISE_W2
57124.67556966 14.091 0.052 WISE_W1
57124.74114877 14.085 0.054 WISE_W1
57124.74114877 13.707 0.101 WISE_W2
57124.74127615 14.116 0.054 WISE_W1
57124.74127615 13.702 0.123 WISE_W2
57124.80685525 14.043 0.049 WISE_W1
57124.80685525 13.847 0.145 WISE_W2
57124.87256172 13.968 0.06 WISE_W1
57124.87256172 13.704 0.145 WISE_W2
