MJD mag magerr band
56670.95023446 13.452 0.101 WISE_W2
56670.95023446 14.268 0.056 WISE_W1
56671.0819021 14.524 0.074 WISE_W1
56671.0819021 13.413 0.095 WISE_W2
56671.08202946 14.441 0.069 WISE_W1
56671.08202946 13.525 0.09 WISE_W2
56671.21369709 13.436 0.087 WISE_W2
56671.21369709 14.282 0.055 WISE_W1
56671.27965828 14.465 0.08 WISE_W1
56671.27965828 13.859 0.137 WISE_W2
56671.34549209 13.899 0.252 WISE_W2
56671.34549209 14.32 0.059 WISE_W1
56671.41132596 13.574 0.1 WISE_W2
56671.41132596 14.624 0.078 WISE_W1
56671.41145328 13.555 0.091 WISE_W2
56671.41145328 14.421 0.084 WISE_W1
56671.54312091 14.395 0.06 WISE_W1
56671.54312091 13.433 0.094 WISE_W2
56671.60908206 14.497 0.069 WISE_W1
56671.60908206 13.704 0.157 WISE_W2
56671.67491593 13.657 0.125 WISE_W2
56671.67491593 14.291 0.056 WISE_W1
56671.74074975 13.566 0.117 WISE_W2
56671.74074975 14.427 0.071 WISE_W1
56671.80671093 14.413 0.07 WISE_W1
56671.80671093 13.478 0.125 WISE_W2
56671.93837857 13.58 0.105 WISE_W2
56671.93837857 14.382 0.07 WISE_W1
56671.93850593 14.418 0.063 WISE_W1
56671.93850593 13.554 0.124 WISE_W2
56672.07017356 14.528 0.073 WISE_W1
56672.07017356 13.432 0.09 WISE_W2
56850.45065008 14.448 0.063 WISE_W1
56850.45065008 13.662 0.13 WISE_W2
56850.58218975 14.377 0.072 WISE_W1
56850.58218975 13.644 0.129 WISE_W2
56850.71385686 13.511 0.167 WISE_W2
56850.71385686 14.244 0.06 WISE_W1
56850.77956302 14.59 0.081 WISE_W1
56850.77956302 13.42 0.088 WISE_W2
56850.84539657 13.581 0.117 WISE_W2
56850.84539657 14.344 0.067 WISE_W1
56850.91110282 14.462 0.071 WISE_W1
56850.91110282 13.485 0.105 WISE_W2
56850.91123019 14.294 0.069 WISE_W1
56850.91123019 13.742 0.146 WISE_W2
56850.97693639 13.826 0.128 WISE_W2
56850.97693639 14.383 0.067 WISE_W1
56851.0427699 13.355 0.129 WISE_W2
56851.0427699 14.392 0.068 WISE_W1
56851.10847615 13.31 0.094 WISE_W2
56851.10847615 14.512 0.071 WISE_W1
56851.17430971 13.404 0.107 WISE_W2
56851.17430971 14.252 0.072 WISE_W1
56851.24014322 13.559 0.1 WISE_W2
56851.24014322 14.437 0.067 WISE_W1
56851.30584938 14.41 0.081 WISE_W1
56851.30584938 13.742 0.15 WISE_W2
56851.43751649 13.601 0.113 WISE_W2
56851.43751649 14.415 0.063 WISE_W1
56851.56905677 14.287 0.067 WISE_W1
56851.56905677 13.542 0.138 WISE_W2
56851.70059648 13.596 0.104 WISE_W2
56851.70059648 14.323 0.067 WISE_W1
57034.90986039 13.496 0.089 WISE_W2
57034.90986039 14.337 0.057 WISE_W1
57034.97556692 14.418 0.064 WISE_W1
57034.97556692 13.64 0.101 WISE_W2
57037.40658053 14.282 0.06 WISE_W1
57037.40658053 13.397 0.08 WISE_W2
57037.66940666 13.516 0.096 WISE_W2
57037.66940666 14.07 0.063 WISE_W1
57037.80081971 14.42 0.07 WISE_W1
57037.80081971 13.818 0.174 WISE_W2
57037.93210536 14.3 0.088 WISE_W1
57037.93210536 13.489 0.087 WISE_W2
57037.93223267 13.367 0.09 WISE_W2
57037.93223267 14.299 0.056 WISE_W1
57037.99781189 13.421 0.085 WISE_W2
57037.99781189 14.429 0.061 WISE_W1
57038.06351841 14.364 0.065 WISE_W1
57038.06351841 13.431 0.129 WISE_W2
57038.1292249 13.471 0.091 WISE_W2
57038.1292249 14.241 0.064 WISE_W1
57038.19493142 14.309 0.057 WISE_W1
57038.19493142 13.713 0.119 WISE_W2
57038.2606379 13.297 0.077 WISE_W2
57038.2606379 14.271 0.065 WISE_W1
57038.32634443 14.365 0.059 WISE_W1
57038.32634443 13.293 0.078 WISE_W2
57038.39205096 13.395 0.107 WISE_W2
57038.39205096 14.344 0.097 WISE_W1
57038.52346392 14.393 0.117 WISE_W1
57038.52346392 13.385 0.121 WISE_W2
57038.65487698 13.251 0.079 WISE_W2
57038.65487698 14.323 0.059 WISE_W1
57209.19584168 14.259 0.055 WISE_W1
57209.19584168 13.467 0.093 WISE_W2
57209.3269995 13.303 0.088 WISE_W2
57209.3269995 14.32 0.071 WISE_W1
57209.4582847 13.368 0.114 WISE_W2
57209.4582847 14.315 0.06 WISE_W1
57209.58944306 13.588 0.098 WISE_W2
57209.58944306 14.351 0.081 WISE_W1
57209.65502199 14.464 0.067 WISE_W1
57209.65502199 13.48 0.094 WISE_W2
57209.65514935 14.254 0.057 WISE_W1
57209.65514935 13.403 0.086 WISE_W2
57209.72072824 14.413 0.066 WISE_W1
57209.72072824 13.484 0.098 WISE_W2
57209.78630723 13.627 0.158 WISE_W2
57209.78630723 14.276 0.081 WISE_W1
57209.85188612 14.201 0.055 WISE_W1
57209.85188612 13.535 0.103 WISE_W2
57209.91746506 13.489 0.101 WISE_W2
57209.91746506 14.297 0.11 WISE_W1
57209.98317131 14.437 0.078 WISE_W1
57209.98317131 13.592 0.098 WISE_W2
57210.04875029 14.317 0.063 WISE_W1
57210.04875029 13.389 0.101 WISE_W2
57210.11432913 14.423 0.063 WISE_W1
57210.11432913 13.522 0.098 WISE_W2
57210.17990808 14.343 0.059 WISE_W1
57210.17990808 13.276 0.079 WISE_W2
57210.31119326 14.444 0.065 WISE_W1
57210.31119326 13.434 0.085 WISE_W2
57210.44235109 13.385 0.087 WISE_W2
57210.44235109 14.285 0.057 WISE_W1
57400.00735674 13.595 0.108 WISE_W2
57400.00735674 14.323 0.059 WISE_W1
57400.13851529 13.368 0.085 WISE_W2
57400.13851529 14.206 0.06 WISE_W1
57400.26954653 14.296 0.059 WISE_W1
57400.26954653 13.406 0.088 WISE_W2
57400.3351258 14.289 0.057 WISE_W1
57400.3351258 13.448 0.093 WISE_W2
57400.40070513 14.229 0.058 WISE_W1
57400.40070513 13.953 0.249 WISE_W2
57400.46628501 13.439 0.099 WISE_W2
57400.46628501 14.346 0.059 WISE_W1
57400.59744356 13.445 0.102 WISE_W2
57400.59744356 14.246 0.055 WISE_W1
57400.66289558 13.536 0.122 WISE_W2
57400.66289558 14.45 0.101 WISE_W1
57400.66302289 13.74 0.187 WISE_W2
57400.66302289 14.289 0.06 WISE_W1
57400.72847485 13.164 0.079 WISE_W2
57400.72847485 14.308 0.099 WISE_W1
57400.79405418 14.432 0.064 WISE_W1
57400.79405418 13.481 0.09 WISE_W2
57400.8596335 13.485 0.09 WISE_W2
57400.8596335 14.285 0.058 WISE_W1
57400.99079215 13.423 0.093 WISE_W2
57400.99079215 14.376 0.068 WISE_W1
57401.12182338 14.34 0.069 WISE_W1
57401.12182338 13.547 0.12 WISE_W2
57401.12195075 14.263 0.06 WISE_W1
57401.12195075 13.435 0.088 WISE_W2
57401.51517177 14.246 0.063 WISE_W1
57401.51517177 13.611 0.121 WISE_W2
57401.51529909 13.369 0.088 WISE_W2
57401.51529909 14.281 0.061 WISE_W1
57568.08637622 13.395 0.092 WISE_W2
57568.08637622 14.335 0.063 WISE_W1
57568.21740675 14.257 0.06 WISE_W1
57568.21740675 13.597 0.099 WISE_W2
57568.34843722 14.243 0.068 WISE_W1
57568.34843722 13.399 0.119 WISE_W2
57568.47946785 14.405 0.064 WISE_W1
57568.47946785 13.562 0.1 WISE_W2
