MJD mag magerr band
56771.34934656 12.831 0.029 WISE_W1
56771.34934656 12.794 0.056 WISE_W2
56771.48088668 12.762 0.027 WISE_W1
56771.48088668 12.657 0.062 WISE_W2
56771.61242681 12.723 0.062 WISE_W2
56771.61242681 12.718 0.03 WISE_W1
56771.74396689 12.757 0.026 WISE_W1
56771.74396689 12.709 0.056 WISE_W2
56771.74409425 12.765 0.027 WISE_W1
56771.74409425 12.715 0.062 WISE_W2
56771.80980064 12.78 0.031 WISE_W1
56771.80980064 12.759 0.065 WISE_W2
56771.87563438 12.684 0.025 WISE_W1
56771.87563438 12.642 0.052 WISE_W2
56771.94146813 12.798 0.028 WISE_W1
56771.94146813 12.656 0.057 WISE_W2
56772.07313561 12.612 0.051 WISE_W2
56772.07313561 12.734 0.025 WISE_W1
56772.20467574 12.843 0.033 WISE_W1
56772.20467574 12.704 0.052 WISE_W2
56772.20480306 12.734 0.055 WISE_W2
56772.20480306 12.798 0.027 WISE_W1
56772.33634318 12.697 0.024 WISE_W1
56772.33634318 12.67 0.051 WISE_W2
56962.6212325 12.582 0.066 WISE_W2
56962.6212325 12.767 0.029 WISE_W1
56962.75277258 12.607 0.05 WISE_W2
56962.75277258 12.765 0.026 WISE_W1
56962.88431266 12.739 0.026 WISE_W1
56962.88431266 12.579 0.052 WISE_W2
56963.01572543 12.793 0.03 WISE_W1
56963.01572543 12.701 0.053 WISE_W2
56963.08155914 12.644 0.05 WISE_W2
56963.08155914 12.747 0.025 WISE_W1
56963.14726556 12.714 0.027 WISE_W1
56963.14726556 12.753 0.056 WISE_W2
56963.21297196 12.694 0.025 WISE_W1
56963.21297196 12.675 0.057 WISE_W2
56963.27880567 12.746 0.029 WISE_W1
56963.27880567 12.672 0.067 WISE_W2
56963.34451208 12.79 0.026 WISE_W1
56963.34451208 12.913 0.087 WISE_W2
56963.47605221 12.672 0.077 WISE_W2
56963.47605221 15.534 0.15 WISE_W1
56963.47605221 12.809 0.031 WISE_W1
56963.60746492 12.712 0.067 WISE_W2
56963.60746492 12.744 0.03 WISE_W1
57130.30761497 12.771 0.032 WISE_W1
57130.30761497 12.708 0.055 WISE_W2
57130.43890065 12.786 0.031 WISE_W1
57130.43890065 13.048 0.079 WISE_W2
57130.57018633 12.663 0.06 WISE_W2
57130.57018633 12.822 0.033 WISE_W1
57130.63589286 12.807 0.029 WISE_W1
57130.63589286 12.698 0.051 WISE_W2
57130.70147201 12.805 0.031 WISE_W1
57130.70147201 12.674 0.054 WISE_W2
57130.76717854 12.748 0.029 WISE_W1
57130.76717854 12.782 0.072 WISE_W2
57130.83275765 12.568 0.049 WISE_W2
57130.83275765 12.732 0.032 WISE_W1
57130.83288506 12.764 0.029 WISE_W1
57130.83288506 12.687 0.05 WISE_W2
57130.89846418 12.734 0.03 WISE_W1
57130.89846418 12.798 0.075 WISE_W2
57131.02974986 12.718 0.067 WISE_W2
57131.02974986 12.738 0.027 WISE_W1
57131.16103554 12.708 0.026 WISE_W1
57131.16103554 12.37 0.066 WISE_W2
57131.29232127 12.783 0.027 WISE_W1
57131.29232127 12.686 0.058 WISE_W2
57138.57849475 12.824 0.036 WISE_W1
57138.57849475 12.793 0.121 WISE_W2
57324.60799903 12.843 0.031 WISE_W1
57324.60799903 12.798 0.07 WISE_W2
57324.73915723 12.755 0.027 WISE_W1
57324.73915723 12.702 0.105 WISE_W2
57324.87031606 12.697 0.056 WISE_W2
57324.87031606 12.82 0.033 WISE_W1
57324.93589522 12.65 0.06 WISE_W2
57324.93589522 12.761 0.028 WISE_W1
57325.00147427 12.662 0.038 WISE_W1
57325.00147427 12.667 0.062 WISE_W2
57325.06705343 12.727 0.059 WISE_W2
57325.06705343 12.623 0.034 WISE_W1
57325.06718074 12.599 0.057 WISE_W2
57325.06718074 12.699 0.034 WISE_W1
57325.1327599 12.675 0.031 WISE_W1
57325.1327599 12.62 0.055 WISE_W2
57325.19833899 12.763 0.027 WISE_W1
57325.19833899 12.666 0.055 WISE_W2
57325.32949726 12.82 0.031 WISE_W1
57325.32949726 12.619 0.066 WISE_W2
57325.46065551 12.75 0.059 WISE_W2
57325.46065551 12.796 0.028 WISE_W1
57329.65797383 12.738 0.085 WISE_W2
57329.65797383 12.797 0.03 WISE_W1
57489.1880233 12.749 0.029 WISE_W1
57489.1880233 12.682 0.051 WISE_W2
57489.31905457 12.719 0.03 WISE_W1
57489.31905457 12.647 0.054 WISE_W2
57489.3191819 12.804 0.03 WISE_W1
57489.3191819 12.747 0.052 WISE_W2
57489.45021317 12.769 0.03 WISE_W1
57489.45021317 12.772 0.055 WISE_W2
57489.58124436 12.411 0.059 WISE_W2
57489.58124436 12.739 0.026 WISE_W1
57489.64682368 12.75 0.059 WISE_W2
57489.64682368 12.718 0.03 WISE_W1
57489.71227564 12.741 0.048 WISE_W2
57489.71227564 12.771 0.027 WISE_W1
57489.77785495 12.733 0.053 WISE_W2
57489.77785495 12.837 0.03 WISE_W1
57489.90888624 12.692 0.03 WISE_W1
57489.90888624 12.906 0.071 WISE_W2
57490.03992068 12.715 0.051 WISE_W2
57490.03992068 12.815 0.027 WISE_W1
57490.17107943 12.694 0.029 WISE_W1
57490.17107943 12.668 0.047 WISE_W2
57493.51307971 13.169 0.196 WISE_W2
57493.51307971 12.727 0.097 WISE_W2
57493.51307971 14.304 0.084 WISE_W1
57493.51307971 12.729 0.037 WISE_W1
57691.60181447 12.728 0.027 WISE_W1
57691.60181447 12.686 0.067 WISE_W2
57691.73284572 12.779 0.027 WISE_W1
57691.73284572 12.78 0.063 WISE_W2
57691.86387705 12.666 0.076 WISE_W2
57691.86387705 12.763 0.036 WISE_W1
57691.99490833 12.701 0.033 WISE_W1
57691.99490833 12.668 0.074 WISE_W2
57692.06036032 12.759 0.027 WISE_W1
57692.06036032 12.612 0.052 WISE_W2
57692.12581231 12.686 0.037 WISE_W1
57692.12581231 12.667 0.057 WISE_W2
57692.12593968 12.723 0.03 WISE_W1
57692.12593968 12.773 0.061 WISE_W2
57692.19139156 12.712 0.026 WISE_W1
57692.19139156 12.649 0.056 WISE_W2
57692.25684355 12.772 0.03 WISE_W1
57692.25684355 12.676 0.058 WISE_W2
57692.32242285 12.745 0.028 WISE_W1
57692.32242285 12.681 0.062 WISE_W2
57692.45345414 12.753 0.029 WISE_W1
57692.45345414 12.698 0.079 WISE_W2
57692.58435811 12.748 0.031 WISE_W1
57692.58435811 12.585 0.055 WISE_W2
57852.61306381 12.821 0.029 WISE_W1
57852.61306381 12.47 0.055 WISE_W2
57852.74409494 12.729 0.03 WISE_W1
57852.74409494 12.626 0.06 WISE_W2
57852.8749988 12.737 0.058 WISE_W2
57852.8749988 12.794 0.031 WISE_W1
57853.00590265 12.75 0.031 WISE_W1
57853.00590265 12.688 0.082 WISE_W2
57853.00603001 12.73 0.03 WISE_W1
57853.00603001 12.671 0.058 WISE_W2
57853.07148194 12.79 0.03 WISE_W1
57853.07148194 12.646 0.059 WISE_W2
57853.13693388 12.655 0.053 WISE_W2
57853.13693388 12.744 0.027 WISE_W1
57853.20238575 12.793 0.066 WISE_W2
57853.20238575 12.733 0.031 WISE_W1
57853.26783764 12.858 0.03 WISE_W1
57853.26783764 12.64 0.049 WISE_W2
57853.267965 12.615 0.051 WISE_W2
57853.267965 12.672 0.039 WISE_W1
57853.33341692 12.681 0.083 WISE_W2
57853.33341692 12.783 0.031 WISE_W1
57853.46432079 14.242 0.063 WISE_W1
57853.46432079 14.395 0.269 WISE_W2
57853.46432079 12.805 0.028 WISE_W1
57853.46432079 12.729 0.057 WISE_W2
57853.59535191 12.743 0.041 WISE_W1
57853.59535191 12.625 0.053 WISE_W2
57853.72625578 12.625 0.06 WISE_W2
57853.72625578 12.612 0.026 WISE_W1
58055.9353841 12.747 0.027 WISE_W1
58055.9353841 12.607 0.06 WISE_W2
58056.0662875 12.8 0.061 WISE_W2
58056.0662875 12.751 0.027 WISE_W1
58056.19719095 12.588 0.059 WISE_W2
