x f
3636.374 1.609834e-16
3637.820 1.722236e-16
3639.266 1.450497e-16
3640.712 1.667343e-16
3642.161 1.653525e-16
3643.610 1.644554e-16
3645.060 1.408823e-16
3646.511 1.920533e-16
3647.963 1.745338e-16
3649.415 1.597338e-16
3650.869 1.500603e-16
3652.324 1.532634e-16
3653.779 1.600577e-16
3655.236 1.713967e-16
3656.694 1.586938e-16
3658.152 1.588460e-16
3659.611 1.719266e-16
3661.072 1.690658e-16
3662.533 1.594645e-16
3663.995 1.654725e-16
3665.458 1.892182e-16
3666.921 1.537998e-16
3668.387 1.431369e-16
3669.853 1.578826e-16
3671.319 1.741731e-16
3672.787 1.458640e-16
3674.255 1.619926e-16
3675.725 1.679334e-16
3677.195 1.493508e-16
3678.667 1.589341e-16
3680.139 1.823581e-16
3681.613 1.558207e-16
3683.086 1.786805e-16
3684.562 1.567466e-16
3686.037 1.717307e-16
3687.514 1.561387e-16
3688.992 1.799168e-16
3690.471 1.785211e-16
3691.951 1.621559e-16
3693.430 1.830431e-16
3694.913 1.662946e-16
3696.395 1.738189e-16
3697.878 1.788220e-16
3699.363 1.625428e-16
3700.847 1.726929e-16
3702.334 1.659453e-16
3703.820 1.755265e-16
3705.308 1.624978e-16
3706.797 1.891584e-16
3708.287 1.596785e-16
3709.777 1.751318e-16
3711.269 1.627606e-16
3712.761 1.640342e-16
3714.255 1.732032e-16
3715.749 1.845962e-16
3717.244 1.646811e-16
3718.740 1.661764e-16
3720.237 1.758454e-16
3721.736 1.822073e-16
3723.233 1.745295e-16
3724.733 1.684676e-16
3726.234 1.820538e-16
3727.735 1.752341e-16
3729.238 1.573047e-16
3730.740 1.536694e-16
3732.245 1.662834e-16
3733.750 1.830590e-16
3735.256 1.813705e-16
3736.763 1.726473e-16
3738.271 1.731177e-16
3739.779 1.580528e-16
3741.283 1.460331e-16
3742.793 1.708716e-16
3744.295 1.687564e-16
3745.808 1.838910e-16
3747.321 1.555496e-16
3748.836 1.711864e-16
3750.351 1.850677e-16
3751.866 1.765086e-16
3753.397 1.625801e-16
3754.915 1.671739e-16
3756.433 1.862322e-16
3757.953 1.775997e-16
3759.473 1.808060e-16
3760.994 1.770860e-16
3762.516 1.576977e-16
3764.039 1.836626e-16
3765.563 1.744120e-16
3767.088 1.858797e-16
3768.613 1.753732e-16
3770.140 1.720231e-16
3771.667 1.937081e-16
3773.195 1.864474e-16
3774.724 1.770853e-16
3776.254 1.776107e-16
3777.785 1.858459e-16
3779.317 1.875187e-16
3780.850 1.749906e-16
3782.383 1.689272e-16
3783.918 1.738551e-16
3785.453 1.886307e-16
3786.988 1.675662e-16
3788.526 1.679148e-16
3790.064 1.817761e-16
3791.603 1.823882e-16
3793.142 1.845111e-16
3794.683 1.815266e-16
3796.224 1.793052e-16
3797.767 1.790539e-16
3799.314 1.826281e-16
3800.854 1.722484e-16
3802.399 1.712837e-16
3803.945 1.658352e-16
3805.491 1.582050e-16
3807.039 1.749552e-16
3808.587 1.614246e-16
3810.136 1.739993e-16
3811.687 1.692653e-16
3813.237 1.616257e-16
3814.790 1.673728e-16
3816.342 1.862493e-16
3817.895 1.740153e-16
3819.452 1.854084e-16
3821.006 1.761020e-16
3822.562 1.759757e-16
3824.119 1.843236e-16
3825.677 1.783817e-16
3827.235 1.850816e-16
3828.795 1.909809e-16
3830.356 1.763318e-16
3831.917 1.701567e-16
3833.479 1.719156e-16
3835.042 1.740175e-16
3836.604 1.677026e-16
3838.171 1.712163e-16
3839.736 1.769563e-16
3841.303 1.818205e-16
3842.871 1.640961e-16
3844.439 1.766318e-16
3846.008 1.825865e-16
3847.578 1.717651e-16
3849.149 1.805550e-16
3850.720 1.747266e-16
3852.293 1.715073e-16
3853.863 1.453183e-16
3855.440 1.797760e-16
3857.015 1.697457e-16
3858.591 1.787047e-16
3860.168 1.753168e-16
3861.746 1.859120e-16
3863.324 1.836930e-16
3864.904 1.768571e-16
3866.483 1.708036e-16
3868.065 1.898472e-16
3869.647 1.777108e-16
3871.229 1.722672e-16
3872.813 1.738220e-16
3874.397 1.828983e-16
3875.983 1.883356e-16
3877.568 1.804953e-16
3879.156 1.739313e-16
3880.743 1.739109e-16
3882.332 1.814407e-16
3883.921 1.737294e-16
3885.512 1.853866e-16
3887.103 1.847932e-16
3888.694 1.817511e-16
3890.288 1.941006e-16
3891.881 1.883769e-16
3893.476 1.893639e-16
3895.071 1.886225e-16
3896.667 1.914551e-16
3898.264 1.866242e-16
3899.862 1.894432e-16
3901.460 1.757170e-16
3903.060 1.824698e-16
3904.661 1.896911e-16
3906.262 1.829762e-16
3907.863 1.919418e-16
3909.466 1.946422e-16
3911.070 1.818545e-16
3912.675 1.854896e-16
3914.280 1.896022e-16
3915.886 1.845946e-16
3917.493 1.788509e-16
3919.101 1.842138e-16
3920.709 1.920761e-16
3922.319 1.888468e-16
3923.929 1.953499e-16
3925.541 1.975503e-16
3927.152 1.852308e-16
3928.768 1.878949e-16
3930.377 1.941671e-16
3931.993 1.854971e-16
3933.608 1.771449e-16
3935.222 1.810244e-16
3936.841 1.677691e-16
3938.455 1.796205e-16
3940.080 1.885330e-16
3941.697 1.901777e-16
3943.317 1.932015e-16
3944.938 1.929162e-16
3946.560 1.993746e-16
3948.182 2.043090e-16
3949.805 1.998076e-16
3951.430 1.996781e-16
3953.055 1.959674e-16
3954.681 1.891717e-16
3956.307 2.000081e-16
3957.935 1.902798e-16
3959.563 2.002216e-16
3961.193 1.960413e-16
3962.823 1.875770e-16
3964.453 1.919568e-16
3966.085 2.000504e-16
3967.717 1.930542e-16
3969.350 1.883933e-16
3970.985 1.840308e-16
3972.619 1.776337e-16
3974.255 2.023516e-16
3975.891 1.956896e-16
3977.529 1.903112e-16
3979.167 1.887892e-16
3980.806 2.015443e-16
3982.445 1.973522e-16
3984.084 2.038153e-16
3985.727 1.889177e-16
3987.369 1.911924e-16
3989.012 1.905181e-16
3990.655 1.956571e-16
3992.300 2.010197e-16
3993.945 2.004724e-16
3995.591 2.012489e-16
3997.238 1.990794e-16
3998.886 1.901011e-16
4000.535 1.835312e-16
4002.185 1.851907e-16
4003.834 1.884190e-16
4005.485 2.018593e-16
4007.136 1.878111e-16
4008.788 1.918482e-16
4010.442 1.909004e-16
4012.096 1.951252e-16
4013.751 2.020995e-16
4015.407 2.006738e-16
4017.063 1.825063e-16
4018.720 1.944262e-16
4020.377 1.866889e-16
4022.037 1.928119e-16
4023.697 1.929974e-16
4025.358 1.898631e-16
4027.019 1.888296e-16
4028.682 1.848930e-16
4030.343 1.873169e-16
4032.007 1.827117e-16
4033.672 1.956400e-16
4035.336 1.802745e-16
4037.003 1.851577e-16
4038.669 1.947702e-16
4040.337 1.893941e-16
4042.009 1.717865e-16
4043.674 1.907191e-16
4045.344 1.949355e-16
4047.014 1.919233e-16
4048.685 1.890441e-16
4050.358 1.888069e-16
4052.031 1.879072e-16
4053.705 1.898246e-16
4055.380 1.871962e-16
4057.055 1.816593e-16
4058.731 1.962631e-16
4060.408 1.913561e-16
4062.086 1.964214e-16
4063.764 1.893528e-16
4065.443 1.978563e-16
4067.128 2.027551e-16
4068.804 1.906811e-16
4070.485 1.929731e-16
4072.168 1.914118e-16
4073.851 2.002027e-16
4075.535 1.947467e-16
4077.220 1.891899e-16
4078.905 1.981024e-16
4080.591 1.939497e-16
4082.278 1.971005e-16
4083.966 1.971580e-16
4085.654 2.021838e-16
4087.344 1.948519e-16
4089.034 1.948635e-16
4090.725 1.978880e-16
4092.416 1.966227e-16
4094.108 1.961655e-16
4095.802 1.927035e-16
4097.496 2.040046e-16
4099.190 1.940050e-16
4100.885 2.037689e-16
4102.582 1.941696e-16
4104.279 1.930629e-16
4105.977 1.886435e-16
4107.675 1.936271e-16
4109.374 2.011331e-16
4111.075 2.079615e-16
4112.775 1.937051e-16
4114.477 1.987434e-16
4116.179 2.100866e-16
4117.882 2.044374e-16
4119.585 1.942639e-16
4121.291 1.970484e-16
4122.996 1.999350e-16
4124.703 2.039390e-16
4126.409 1.961027e-16
4128.116 2.103679e-16
4129.825 1.995419e-16
4131.534 2.058005e-16
4133.244 2.043158e-16
4134.954 2.042536e-16
4136.666 2.058759e-16
4138.378 2.005465e-16
4140.091 2.020247e-16
4141.804 1.975731e-16
4143.519 2.066659e-16
4145.234 2.040219e-16
4146.950 2.010359e-16
4148.666 1.885618e-16
4150.384 2.031599e-16
4152.102 1.979466e-16
4153.821 2.095863e-16
4155.541 1.918886e-16
4157.261 1.981317e-16
4158.982 2.040749e-16
4160.704 1.959872e-16
4162.426 2.015208e-16
4164.150 1.948330e-16
4165.875 1.980455e-16
4167.594 1.940188e-16
4169.324 1.964399e-16
4171.051 2.019852e-16
4172.778 2.085223e-16
4174.506 2.007878e-16
4176.235 2.071540e-16
4177.964 2.085760e-16
4179.694 1.996015e-16
4181.424 2.030784e-16
4183.156 2.030226e-16
4184.888 2.059654e-16
4186.622 2.043351e-16
4188.353 1.917403e-16
4190.090 2.083978e-16
4191.825 2.078994e-16
4193.561 1.989993e-16
4195.298 2.059459e-16
4197.035 2.030110e-16
4198.773 2.005264e-16
4200.512 2.049145e-16
4202.252 2.061412e-16
4203.992 2.098881e-16
4205.733 1.955110e-16
4207.475 1.987606e-16
4209.218 2.036185e-16
4210.961 2.025920e-16
4212.705 1.996748e-16
4214.450 2.011931e-16
4216.195 1.946957e-16
4217.941 1.992092e-16
4219.688 1.959250e-16
4221.436 2.052455e-16
4223.184 1.946879e-16
4224.934 2.018988e-16
4226.683 2.050446e-16
4228.434 2.053179e-16
4230.185 2.079919e-16
4231.937 2.027237e-16
4233.690 2.012493e-16
4235.444 2.042355e-16
4237.198 2.000006e-16
4238.952 2.061903e-16
4240.708 1.968375e-16
4242.465 2.019904e-16
4244.222 2.111968e-16
4245.980 2.103277e-16
4247.738 1.996963e-16
4249.497 1.994529e-16
4251.257 1.980086e-16
4253.018 2.024219e-16
