MJD mag magerr band
56721.40610808 13.706 0.113 WISE_W2
56721.40610808 15.282 0.432 WISE_W2
56721.40610808 15.366 0.133 WISE_W1
56721.40610808 14.199 0.059 WISE_W1
56721.53777536 14.065 0.169 WISE_W2
56721.53777536 14.153 0.051 WISE_W1
56721.66944259 14.19 0.063 WISE_W1
56721.66944259 13.827 0.116 WISE_W2
56721.66957 13.778 0.116 WISE_W2
56721.66957 14.186 0.056 WISE_W1
56721.73540362 13.562 0.128 WISE_W2
56721.73540362 14.163 0.055 WISE_W1
56721.80123728 14.102 0.051 WISE_W1
56721.80123728 14.923 0.334 WISE_W2
56721.80123728 15.387 0.132 WISE_W1
56721.80123728 13.904 0.15 WISE_W2
56721.86707095 14.25 0.059 WISE_W1
56721.86707095 13.643 0.135 WISE_W2
56721.93290461 15.007 0.306 WISE_W2
56721.93290461 15.169 0.101 WISE_W1
56721.93290461 13.475 0.15 WISE_W2
56721.93290461 14.228 0.056 WISE_W1
56721.99873828 13.801 0.109 WISE_W2
56721.99873828 14.241 0.059 WISE_W1
56722.06469931 13.977 0.17 WISE_W2
56722.06469931 14.292 0.063 WISE_W1
56722.13053296 14.139 0.052 WISE_W1
56722.13053296 13.912 0.127 WISE_W2
56722.19636663 13.858 0.152 WISE_W2
56722.19636663 14.275 0.055 WISE_W1
56722.26220029 13.9 0.127 WISE_W2
56722.26220029 14.337 0.058 WISE_W1
56722.32803396 13.933 0.134 WISE_W2
56722.32803396 14.321 0.058 WISE_W1
56722.39386762 13.806 0.122 WISE_W2
56722.39386762 14.245 0.056 WISE_W1
56722.52566221 15.316 0.145 WISE_W1
56722.52566221 14.299 0.056 WISE_W1
56722.52566221 13.485 0.112 WISE_W2
56722.65732949 14.117 0.059 WISE_W1
56722.65732949 14.161 0.203 WISE_W2
56900.44679667 14.13 0.063 WISE_W1
56900.44679667 13.76 0.135 WISE_W2
56900.57833684 13.729 0.104 WISE_W2
56900.57833684 14.145 0.065 WISE_W1
56900.57846416 14.143 0.054 WISE_W1
56900.57846416 13.829 0.137 WISE_W2
56900.71000433 14.117 0.052 WISE_W1
56900.71000433 13.779 0.134 WISE_W2
56900.84154455 14.235 0.079 WISE_W1
56900.84154455 13.745 0.098 WISE_W2
56900.90725098 13.963 0.137 WISE_W2
56900.90725098 14.161 0.064 WISE_W1
56900.97308477 13.796 0.119 WISE_W2
56900.97308477 14.177 0.053 WISE_W1
56901.03879125 14.148 0.271 WISE_W2
56901.03879125 14.097 0.057 WISE_W1
56901.17033142 14.184 0.08 WISE_W1
56901.17033142 14.119 0.168 WISE_W2
56901.17045878 14.553 0.072 WISE_W1
56901.17045878 13.741 0.164 WISE_W2
56901.23616522 13.659 0.118 WISE_W2
56901.23616522 14.258 0.056 WISE_W1
56901.30199891 14.154 0.06 WISE_W1
56901.30199891 13.912 0.118 WISE_W2
56901.36770539 13.814 0.112 WISE_W2
56901.36770539 14.116 0.065 WISE_W1
56901.43353919 14.211 0.086 WISE_W1
56901.43353919 13.883 0.14 WISE_W2
56901.56507936 13.956 0.138 WISE_W2
56901.56507936 14.148 0.054 WISE_W1
56901.56507936 16.637 0.374 WISE_W1
