MJD mag magerr band
56709.58941289 13.382 0.117 WISE_W2
56709.58941289 13.901 0.049 WISE_W1
56709.72108025 13.223 0.109 WISE_W2
56709.72108025 13.713 0.057 WISE_W1
56709.85274763 13.819 0.053 WISE_W1
56709.85274763 13.346 0.082 WISE_W2
56709.85287494 13.696 0.041 WISE_W1
56709.85287494 13.395 0.093 WISE_W2
56709.98454236 13.7 0.057 WISE_W1
56709.98454236 13.263 0.1 WISE_W2
56710.05037604 13.758 0.05 WISE_W1
56710.05037604 13.389 0.088 WISE_W2
56710.11620972 13.771 0.049 WISE_W1
56710.11620972 13.313 0.081 WISE_W2
56710.18217072 13.795 0.042 WISE_W1
56710.18217072 13.278 0.083 WISE_W2
56710.24800441 13.757 0.042 WISE_W1
56710.24800441 13.394 0.083 WISE_W2
56710.31383809 13.227 0.082 WISE_W2
56710.31383809 13.722 0.04 WISE_W1
56710.44563282 13.414 0.099 WISE_W2
56710.44563282 13.895 0.048 WISE_W1
56710.57730009 13.251 0.08 WISE_W2
56710.57730009 13.884 0.048 WISE_W1
56900.54026241 13.2 0.072 WISE_W2
56900.54026241 13.699 0.042 WISE_W1
56900.67180259 13.761 0.044 WISE_W1
56900.67180259 13.233 0.093 WISE_W2
56900.80334277 13.724 0.047 WISE_W1
56900.80334277 13.193 0.077 WISE_W2
56900.86917655 13.245 0.12 WISE_W2
56900.86917655 13.678 0.054 WISE_W1
56900.93488303 13.114 0.103 WISE_W2
56900.93488303 13.617 0.056 WISE_W1
56900.93501035 13.224 0.081 WISE_W2
56900.93501035 13.696 0.044 WISE_W1
56901.00071683 13.7 0.043 WISE_W1
56901.00071683 13.21 0.081 WISE_W2
56901.06655063 13.74 0.049 WISE_W1
56901.06655063 13.23 0.08 WISE_W2
56901.13225705 13.307 0.086 WISE_W2
56901.13225705 13.772 0.048 WISE_W1
56901.26379774 13.609 0.054 WISE_W1
56901.26379774 13.572 0.116 WISE_W2
56901.39533796 13.734 0.047 WISE_W1
56901.39533796 13.243 0.078 WISE_W2
56901.52687819 13.313 0.093 WISE_W2
56901.52687819 13.712 0.049 WISE_W1
56901.52700551 13.327 0.084 WISE_W2
56901.52700551 13.715 0.046 WISE_W1
57068.71304356 13.267 0.078 WISE_W2
57068.71304356 13.702 0.054 WISE_W1
57068.8444565 13.82 0.049 WISE_W1
57068.8444565 13.387 0.105 WISE_W2
57068.97586944 13.771 0.042 WISE_W1
57068.97586944 13.519 0.103 WISE_W2
57069.10715507 13.303 0.091 WISE_W2
57069.10715507 13.791 0.059 WISE_W1
57069.17286148 13.344 0.166 WISE_W2
57069.17286148 13.804 0.053 WISE_W1
57069.23844054 13.312 0.08 WISE_W2
57069.23844054 13.832 0.046 WISE_W1
57069.30414697 13.796 0.044 WISE_W1
57069.30414697 13.045 0.079 WISE_W2
57069.36985344 13.784 0.044 WISE_W1
57069.36985344 13.23 0.076 WISE_W2
57069.43555991 13.435 0.098 WISE_W2
57069.43555991 13.829 0.051 WISE_W1
57069.56684549 13.214 0.073 WISE_W2
57069.56684549 13.742 0.044 WISE_W1
57069.5669728 13.775 0.047 WISE_W1
57069.5669728 13.275 0.077 WISE_W2
57069.69825838 13.764 0.043 WISE_W1
57069.69825838 13.273 0.08 WISE_W2
57262.2966226 13.718 0.045 WISE_W1
57262.2966226 13.166 0.083 WISE_W2
57262.42790833 13.157 0.075 WISE_W2
57262.42790833 13.768 0.043 WISE_W1
57262.55906661 13.156 0.082 WISE_W2
57262.55906661 13.75 0.049 WISE_W1
57262.69022497 13.204 0.11 WISE_W2
57262.69022497 13.566 0.059 WISE_W1
57262.75580416 13.864 0.048 WISE_W1
57262.75580416 13.527 0.116 WISE_W2
57262.82138333 13.631 0.043 WISE_W1
57262.82151065 13.742 0.046 WISE_W1
57262.82151065 13.358 0.12 WISE_W2
57262.88708988 13.35 0.085 WISE_W2
57262.88708988 13.703 0.043 WISE_W1
57262.95266906 13.524 0.171 WISE_W2
57262.95266906 13.798 0.049 WISE_W1
57263.01824819 13.329 0.137 WISE_W2
57263.01824819 13.838 0.053 WISE_W1
57263.14940656 13.828 0.047 WISE_W1
57263.14940656 13.282 0.082 WISE_W2
57263.28069229 13.333 0.132 WISE_W2
57263.28069229 13.764 0.056 WISE_W1
57270.29943975 13.766 0.043 WISE_W1
57270.29943975 13.447 0.13 WISE_W2
57427.84009535 13.823 0.044 WISE_W1
57427.84009535 13.26 0.082 WISE_W2
57427.97112667 13.694 0.063 WISE_W1
57427.97125398 13.298 0.091 WISE_W2
57427.97125398 13.649 0.045 WISE_W1
57428.1022853 13.75 0.044 WISE_W1
57428.1022853 13.281 0.085 WISE_W2
57428.16786457 13.824 0.044 WISE_W1
57428.16786457 13.336 0.075 WISE_W2
57428.23344389 13.429 0.097 WISE_W2
57428.23344389 13.81 0.044 WISE_W1
57428.29889583 13.768 0.056 WISE_W1
57428.29889583 13.354 0.078 WISE_W2
57428.29902319 13.297 0.087 WISE_W2
57428.29902319 13.792 0.053 WISE_W1
57428.36447515 13.744 0.042 WISE_W1
57428.36447515 13.481 0.111 WISE_W2
57428.43005447 13.322 0.081 WISE_W2
57428.43005447 13.806 0.05 WISE_W1
57428.49563383 13.764 0.043 WISE_W1
57428.49563383 13.299 0.079 WISE_W2
57428.5612131 13.454 0.094 WISE_W2
57428.5612131 13.841 0.046 WISE_W1
57428.69224438 13.773 0.047 WISE_W1
57428.69224438 13.218 0.074 WISE_W2
57428.82340296 13.745 0.043 WISE_W1
57428.82340296 13.429 0.091 WISE_W2
57434.39522582 13.879 0.052 WISE_W1
57434.39522582 13.562 0.19 WISE_W2
57629.37012851 13.421 0.1 WISE_W2
57629.37012851 13.785 0.049 WISE_W1
57629.50115927 13.629 0.042 WISE_W1
57629.50115927 13.067 0.091 WISE_W2
57629.63219002 13.236 0.088 WISE_W2
57629.63219002 13.725 0.047 WISE_W1
57629.76322078 13.381 0.109 WISE_W2
57629.76322078 13.844 0.052 WISE_W1
57629.82867255 13.881 0.055 WISE_W1
57629.82867255 13.267 0.086 WISE_W2
57629.82879986 13.903 0.061 WISE_W1
57629.82879986 13.396 0.094 WISE_W2
57629.89425159 13.187 0.119 WISE_W2
57629.89425159 13.711 0.063 WISE_W1
57629.9597033 13.808 0.051 WISE_W1
57629.9597033 13.106 0.081 WISE_W2
57629.95983066 13.3 0.102 WISE_W2
57629.95983066 13.809 0.054 WISE_W1
57630.02528238 13.788 0.045 WISE_W1
57630.02528238 13.37 0.093 WISE_W2
57630.09073411 13.415 0.096 WISE_W2
57630.09073411 13.638 0.071 WISE_W1
57630.22176486 13.784 0.053 WISE_W1
57630.22176486 13.368 0.108 WISE_W2
57630.35279561 13.76 0.048 WISE_W1
57630.35279561 13.465 0.093 WISE_W2
57794.85373027 13.222 0.08 WISE_W2
57794.85373027 13.738 0.047 WISE_W1
57794.98463425 13.237 0.082 WISE_W2
57794.98463425 13.682 0.048 WISE_W1
57794.98476156 13.797 0.047 WISE_W1
57794.98476156 13.407 0.098 WISE_W2
57795.11566553 13.744 0.044 WISE_W1
57795.11566553 13.239 0.087 WISE_W2
57795.18111755 13.366 0.101 WISE_W2
57795.18111755 13.87 0.051 WISE_W1
57795.24669683 13.708 0.047 WISE_W1
57795.24669683 13.365 0.083 WISE_W2
57795.3121488 13.286 0.085 WISE_W2
57795.3121488 13.814 0.059 WISE_W1
57795.37760076 13.388 0.09 WISE_W2
57795.37760076 13.7 0.042 WISE_W1
57795.44318009 13.86 0.047 WISE_W1
57795.44318009 13.249 0.083 WISE_W2
57795.57408402 13.471 0.112 WISE_W2
57795.57408402 13.827 0.048 WISE_W1
57795.70511531 13.335 0.09 WISE_W2
57795.70511531 13.756 0.046 WISE_W1
57795.83601925 13.29 0.08 WISE_W2
57795.83601925 13.632 0.053 WISE_W1
57993.48134009 13.258 0.081 WISE_W2
57993.48134009 13.632 0.046 WISE_W1
57993.61224389 13.336 0.086 WISE_W2
57993.61224389 13.64 0.059 WISE_W1
57993.74327454 13.181 0.077 WISE_W2
57993.74327454 13.824 0.047 WISE_W1
57993.87417775 13.194 0.126 WISE_W2
57993.87417775 13.704 0.049 WISE_W1
57993.93962944 13.188 0.074 WISE_W2
57993.93962944 13.814 0.048 WISE_W1
57994.00508109 13.586 0.142 WISE_W2
57994.00508109 13.757 0.058 WISE_W1
57994.07053277 13.297 0.097 WISE_W2
57994.07053277 13.724 0.048 WISE_W1
57994.13598441 13.669 0.05 WISE_W1
57994.13598441 13.193 0.086 WISE_W2
57994.13611172 13.373 0.089 WISE_W2
57994.13611172 13.767 0.051 WISE_W1
57994.20156331 13.799 0.045 WISE_W1
57994.20156331 13.574 0.153 WISE_W2
57994.33246659 13.797 0.078 WISE_W1
57994.33246659 13.424 0.139 WISE_W2
57994.46336986 13.338 0.095 WISE_W2
57994.46336986 13.799 0.046 WISE_W1
57994.59427314 13.308 0.112 WISE_W2
57994.59427314 13.657 0.045 WISE_W1
58151.92477529 13.34 0.112 WISE_W2
58151.92477529 13.829 0.056 WISE_W1
58152.05568209 13.294 0.114 WISE_W2
58152.05568209 13.751 0.062 WISE_W1
58152.18658603 13.924 0.051 WISE_W1
58152.18658603 13.533 0.13 WISE_W2
58152.31749002 13.281 0.078 WISE_W2
58152.31749002 13.765 0.047 WISE_W1
58152.38294206 13.193 0.092 WISE_W2
