MJD mag magerr band
56675.47620806 13.567 0.044 WISE_W1
56675.47620806 12.922 0.079 WISE_W2
56675.60800295 13.644 0.042 WISE_W1
56675.60800295 13.0 0.082 WISE_W2
56675.73979789 13.565 0.221 WISE_W2
56675.73979789 15.847 0.187 WISE_W1
56675.73979789 13.995 0.191 WISE_W2
56675.73979789 14.872 0.092 WISE_W1
56675.80563169 13.562 0.039 WISE_W1
56675.80563169 12.851 0.061 WISE_W2
56675.87146553 15.976 0.251 WISE_W1
56675.93742663 12.934 0.066 WISE_W2
56675.93742663 13.671 0.044 WISE_W1
56676.00326047 13.149 0.099 WISE_W2
56676.00326047 13.571 0.038 WISE_W1
56676.06909427 12.99 0.071 WISE_W2
56676.06909427 13.736 0.046 WISE_W1
56676.06922159 13.656 0.043 WISE_W1
56676.06922159 12.863 0.068 WISE_W2
56676.13505543 13.672 0.042 WISE_W1
56676.13505543 13.027 0.081 WISE_W2
56676.20088921 13.042 0.079 WISE_W2
56676.20088921 13.58 0.043 WISE_W1
56676.33268412 12.92 0.064 WISE_W2
56676.33268412 13.736 0.042 WISE_W1
56676.46447911 13.726 0.057 WISE_W1
56676.46447911 12.874 0.065 WISE_W2
56864.61428469 13.08 0.073 WISE_W2
56864.61428469 13.784 0.048 WISE_W1
56864.74595184 13.137 0.078 WISE_W2
56864.74595184 13.774 0.044 WISE_W1
56864.87749159 13.669 0.055 WISE_W1
56864.87749159 13.102 0.074 WISE_W2
56865.00903142 13.061 0.076 WISE_W2
56865.00903142 13.737 0.043 WISE_W1
56865.07486498 13.663 0.135 WISE_W2
56865.07486498 13.657 0.041 WISE_W1
56865.14057116 13.716 0.044 WISE_W1
56865.14057116 13.012 0.069 WISE_W2
56865.20640466 13.054 0.069 WISE_W2
56865.20640466 13.685 0.041 WISE_W1
56865.27223817 13.777 0.046 WISE_W1
56865.27223817 13.142 0.084 WISE_W2
56865.33794441 13.0 0.098 WISE_W2
56865.33794441 13.582 0.046 WISE_W1
56865.46948416 13.128 0.086 WISE_W2
56865.46948416 13.85 0.077 WISE_W1
56865.60115122 13.679 0.059 WISE_W1
56865.60115122 13.061 0.079 WISE_W2
56865.732691 13.765 0.044 WISE_W1
56865.732691 13.03 0.07 WISE_W2
57038.24090031 13.719 0.048 WISE_W1
57038.24090031 12.712 0.067 WISE_W2
57038.37231332 13.775 0.049 WISE_W1
57038.37231332 12.975 0.081 WISE_W2
57038.56943286 13.034 0.072 WISE_W2
57038.56943286 13.672 0.041 WISE_W1
57038.63513939 13.69 0.04 WISE_W1
57038.63513939 12.981 0.062 WISE_W2
57038.70084587 13.01 0.071 WISE_W2
57038.70084587 13.668 0.04 WISE_W1
57038.7665524 13.634 0.038 WISE_W1
57038.7665524 12.924 0.063 WISE_W2
57038.83225894 13.633 0.038 WISE_W1
57038.83225894 13.029 0.075 WISE_W2
57038.96367199 12.964 0.066 WISE_W2
57038.96367199 13.661 0.04 WISE_W1
57039.095085 13.722 0.041 WISE_W1
57039.095085 13.121 0.068 WISE_W2
57226.46945427 13.826 0.044 WISE_W1
57226.46945427 13.037 0.069 WISE_W2
57226.60073947 13.779 0.044 WISE_W1
57226.60073947 13.144 0.08 WISE_W2
57226.73189736 13.017 0.071 WISE_W2
57226.73189736 13.722 0.042 WISE_W1
57226.79760359 13.858 0.053 WISE_W1
57226.79760359 13.169 0.085 WISE_W2
57226.86318251 13.703 0.041 WISE_W1
57226.86318251 12.782 0.069 WISE_W2
57226.92876148 13.782 0.045 WISE_W1
57226.92876148 13.09 0.076 WISE_W2
57226.99434097 13.705 0.067 WISE_W1
57226.99434097 13.031 0.071 WISE_W2
57227.05991988 12.993 0.076 WISE_W2
57227.05991988 13.746 0.042 WISE_W1
57227.12549881 13.817 0.055 WISE_W1
57227.12549881 13.112 0.069 WISE_W2
57227.12562617 13.727 0.046 WISE_W1
57227.12562617 12.976 0.071 WISE_W2
57227.19120509 13.847 0.048 WISE_W1
57227.19120509 13.175 0.09 WISE_W2
57227.32236293 13.714 0.053 WISE_W1
57227.32236293 12.938 0.077 WISE_W2
57227.45352076 13.157 0.085 WISE_W2
57227.45352076 13.594 0.056 WISE_W1
57227.45364812 13.696 0.056 WISE_W1
57227.45364812 12.923 0.086 WISE_W2
57227.58480596 13.731 0.049 WISE_W1
57227.58480596 13.084 0.075 WISE_W2
57398.87315352 13.801 0.046 WISE_W1
57398.87315352 13.109 0.067 WISE_W2
57399.0041848 13.832 0.05 WISE_W1
57399.0041848 13.085 0.071 WISE_W2
57399.13534345 13.812 0.049 WISE_W1
57399.13534345 13.151 0.088 WISE_W2
57399.20092267 13.816 0.043 WISE_W1
57399.20092267 13.11 0.071 WISE_W2
57399.26650194 13.116 0.069 WISE_W2
57399.26650194 13.902 0.045 WISE_W1
57399.33208127 13.759 0.043 WISE_W1
57399.33208127 13.214 0.09 WISE_W2
57399.3976606 13.119 0.071 WISE_W2
57399.3976606 13.882 0.051 WISE_W1
57399.46311256 13.128 0.082 WISE_W2
57399.46311256 13.887 0.06 WISE_W1
57399.46323992 13.154 0.08 WISE_W2
57399.46323992 13.896 0.048 WISE_W1
57399.52869189 13.113 0.068 WISE_W2
57399.52869189 13.793 0.042 WISE_W1
57399.59427116 13.101 0.095 WISE_W2
57399.59427116 13.815 0.042 WISE_W1
57399.7254298 13.807 0.043 WISE_W1
57399.7254298 13.008 0.078 WISE_W2
57399.85658836 13.793 0.045 WISE_W1
57399.85658836 13.131 0.066 WISE_W2
57404.64247679 13.801 0.045 WISE_W1
57404.64247679 13.139 0.081 WISE_W2
57590.57741087 13.987 0.052 WISE_W1
57590.57741087 13.211 0.082 WISE_W2
57590.70844135 13.288 0.086 WISE_W2
57590.70844135 13.872 0.053 WISE_W1
57590.83947193 13.367 0.105 WISE_W2
57590.83947193 13.979 0.05 WISE_W1
57590.97050247 13.274 0.091 WISE_W2
57590.97050247 13.892 0.047 WISE_W1
57591.0359541 13.426 0.103 WISE_W2
57591.0359541 13.907 0.049 WISE_W1
57591.10153304 13.932 0.054 WISE_W1
57591.10153304 13.275 0.089 WISE_W2
57591.16698463 13.758 0.18 WISE_W2
57591.16698463 13.873 0.049 WISE_W1
57591.23243622 13.995 0.058 WISE_W1
57591.23256359 13.918 0.061 WISE_W1
57591.23256359 13.327 0.087 WISE_W2
57591.29801522 13.282 0.09 WISE_W2
57591.29801522 13.958 0.051 WISE_W1
57591.42904575 13.958 0.052 WISE_W1
57591.42904575 13.272 0.093 WISE_W2
57591.56007633 14.018 0.055 WISE_W1
57591.56007633 13.28 0.091 WISE_W2
57591.69110691 13.98 0.049 WISE_W1
57591.69110691 13.196 0.099 WISE_W2
57596.08044032 13.507 0.107 WISE_W2
57596.08044032 14.034 0.069 WISE_W1
57758.05555266 13.158 0.093 WISE_W2
57758.05555266 13.937 0.054 WISE_W1
57758.18645641 13.188 0.08 WISE_W2
57758.18645641 13.952 0.066 WISE_W1
57758.31748758 13.312 0.105 WISE_W2
57758.31748758 13.975 0.07 WISE_W1
57758.3829395 13.822 0.057 WISE_W1
57758.3829395 13.288 0.091 WISE_W2
57758.44851875 13.326 0.091 WISE_W2
57758.44851875 13.987 0.05 WISE_W1
57758.51397416 13.97 0.053 WISE_W1
57758.51397416 13.028 0.08 WISE_W2
57758.57942612 13.164 0.081 WISE_W2
57758.57942612 13.911 0.048 WISE_W1
57758.64500542 13.952 0.05 WISE_W1
57758.64500542 13.226 0.098 WISE_W2
57758.7104574 13.894 0.047 WISE_W1
57758.7104574 13.324 0.083 WISE_W2
57758.77590936 13.444 0.123 WISE_W2
57758.77590936 13.945 0.057 WISE_W1
57758.90694068 13.901 0.047 WISE_W1
57758.90694068 13.246 0.105 WISE_W2
57759.037972 13.953 0.051 WISE_W1
57759.037972 13.314 0.118 WISE_W2
57760.80632156 13.863 0.06 WISE_W1
57760.80632156 13.106 0.084 WISE_W2
57760.93735282 13.233 0.109 WISE_W2
57760.93735282 13.868 0.048 WISE_W1
57761.06838414 13.262 0.09 WISE_W2
57761.06838414 13.917 0.073 WISE_W1
57761.19928804 13.236 0.09 WISE_W2
57761.19928804 13.928 0.067 WISE_W1
57761.26486734 13.409 0.103 WISE_W2
57761.26486734 14.041 0.053 WISE_W1
57761.33031931 13.208 0.077 WISE_W2
57761.33031931 13.881 0.047 WISE_W1
57761.39577124 13.335 0.092 WISE_W2
57761.39577124 13.915 0.052 WISE_W1
57761.46135053 13.237 0.078 WISE_W2
57761.46135053 13.908 0.047 WISE_W1
57761.5268025 13.11 0.074 WISE_W2
57761.5268025 13.922 0.056 WISE_W1
57761.65783382 13.959 0.057 WISE_W1
57761.65783382 13.263 0.098 WISE_W2
57761.78886519 13.12 0.087 WISE_W2
57761.78886519 13.977 0.074 WISE_W1
57761.91976909 13.228 0.089 WISE_W2
57761.91976909 13.868 0.049 WISE_W1
57957.59474957 13.23 0.077 WISE_W2
57957.59474957 13.874 0.046 WISE_W1
57957.7257801 13.22 0.089 WISE_W2
57957.7257801 13.89 0.05 WISE_W1
57957.85668332 13.301 0.113 WISE_W2
57957.85668332 13.939 0.047 WISE_W1
57957.98758654 13.999 0.055 WISE_W1
57957.98758654 13.176 0.081 WISE_W2
57958.05303817 13.938 0.049 WISE_W1
57958.05303817 13.215 0.077 WISE_W2
57958.11848976 13.392 0.105 WISE_W2
57958.11848976 13.911 0.057 WISE_W1
57958.18394134 13.82 0.049 WISE_W1
57958.18394134 13.221 0.079 WISE_W2
57958.18406866 13.404 0.085 WISE_W2
57958.18406866 13.974 0.062 WISE_W1
57958.24952024 13.283 0.095 WISE_W2
57958.24952024 13.862 0.047 WISE_W1
57958.31497187 14.018 0.05 WISE_W1
57958.31497187 13.338 0.121 WISE_W2
57958.38042351 13.884 0.047 WISE_W1
57958.38042351 13.438 0.11 WISE_W2
57958.44587505 13.885 0.048 WISE_W1
