MJD mag magerr band
56817.12054071 16.008 0.267 WISE_W1
56817.25220778 16.015 0.258 WISE_W1
56817.38374759 16.081 0.312 WISE_W1
56817.38374759 14.909 0.412 WISE_W2
56817.51541468 15.841 0.262 WISE_W1
56817.64695446 15.968 0.229 WISE_W1
56817.712788 14.997 0.371 WISE_W2
56817.712788 15.974 0.263 WISE_W1
56817.77849427 15.938 0.369 WISE_W1
56817.84432786 13.322 0.05 WISE_W1
56817.97599503 14.086 0.288 WISE_W2
56817.97599503 16.563 0.39 WISE_W1
56818.10753486 15.899 0.227 WISE_W1
56997.62343414 15.529 0.167 WISE_W1
56997.8863875 15.082 0.395 WISE_W2
56997.8863875 15.967 0.234 WISE_W1
56997.95209402 15.569 0.158 WISE_W1
56998.01780049 16.031 0.232 WISE_W1
56998.08350694 15.632 0.203 WISE_W1
56998.14921346 15.045 0.527 WISE_W2
56998.14921346 16.371 0.398 WISE_W1
56998.14934078 15.126 0.421 WISE_W2
56998.14934078 15.98 0.231 WISE_W1
56998.21504728 16.482 0.339 WISE_W1
56998.21504728 16.578 0.518 WISE_W1
56998.3464603 14.792 0.391 WISE_W2
56998.3464603 16.08 0.258 WISE_W1
57178.97516097 15.99 0.253 WISE_W1
57179.10644622 15.039 0.525 WISE_W2
57179.10644622 16.1 0.241 WISE_W1
57179.23760404 15.757 0.233 WISE_W1
57179.23760404 14.867 0.403 WISE_W2
57179.30318297 14.912 0.356 WISE_W2
57179.30318297 16.251 0.28 WISE_W1
57179.30331034 15.876 0.363 WISE_W1
57179.43446821 15.651 0.172 WISE_W1
57179.5000471 15.63 0.278 WISE_W1
57179.56575336 16.153 0.34 WISE_W1
57179.56575336 15.14 0.45 WISE_W2
57179.69691123 15.674 0.248 WISE_W1
57179.82819637 15.59 0.181 WISE_W1
57179.95935429 15.853 0.22 WISE_W1
57179.95935429 14.901 0.425 WISE_W2
57179.95948161 16.162 0.267 WISE_W1
57179.95948161 15.244 0.525 WISE_W2
57356.77136461 15.44 0.209 WISE_W1
57356.90252311 14.716 0.325 WISE_W2
57356.90252311 16.178 0.295 WISE_W1
57357.03368162 14.863 0.305 WISE_W2
