MJD mag magerr band
56945.52115155 14.729 0.091 WISE_W1
56945.52115155 14.113 0.301 WISE_W2
56950.65031887 14.203 0.175 WISE_W2
56950.65031887 14.587 0.074 WISE_W1
56950.78185896 14.686 0.076 WISE_W1
56950.78185896 14.191 0.193 WISE_W2
56950.91339896 13.62 0.141 WISE_W2
56950.91339896 14.508 0.167 WISE_W1
56950.97910535 14.729 0.083 WISE_W1
56950.97910535 13.901 0.138 WISE_W2
56951.04481169 14.265 0.183 WISE_W2
56951.04481169 14.374 0.097 WISE_W1
56951.04493905 13.993 0.168 WISE_W2
56951.04493905 14.517 0.076 WISE_W1
56951.11064539 14.655 0.08 WISE_W1
56951.11064539 14.694 0.34 WISE_W2
56951.17635174 14.028 0.162 WISE_W2
56951.17635174 14.6 0.079 WISE_W1
56951.24218539 14.449 0.079 WISE_W1
56951.24218539 14.081 0.218 WISE_W2
56951.37359812 14.627 0.083 WISE_W1
56951.37372549 14.588 0.075 WISE_W1
56951.37372549 14.321 0.212 WISE_W2
56951.50513817 14.544 0.077 WISE_W1
56951.50513817 14.03 0.155 WISE_W2
56951.63667822 14.245 0.177 WISE_W2
56951.63667822 14.914 0.093 WISE_W1
57118.10097416 14.279 0.179 WISE_W2
57118.10097416 14.77 0.102 WISE_W1
57118.23225966 14.863 0.097 WISE_W1
57118.23225966 13.849 0.152 WISE_W2
57118.36354522 14.784 0.095 WISE_W1
57118.36354522 14.265 0.17 WISE_W2
57118.42925163 15.203 0.524 WISE_W2
57118.42925163 14.651 0.082 WISE_W1
57118.49483074 14.748 0.088 WISE_W1
57118.49483074 14.064 0.186 WISE_W2
57118.56053715 14.351 0.441 WISE_W2
57118.56053715 14.588 0.078 WISE_W1
57118.62611624 13.986 0.199 WISE_W2
57118.62611624 14.547 0.074 WISE_W1
57118.6918227 14.629 0.313 WISE_W2
57118.6918227 14.79 0.134 WISE_W1
57118.82310825 14.584 0.078 WISE_W1
57118.82310825 13.932 0.189 WISE_W2
57118.95439381 14.655 0.082 WISE_W1
57118.95439381 13.993 0.155 WISE_W2
57119.08567936 14.729 0.102 WISE_W1
57119.08567936 13.947 0.161 WISE_W2
57312.53609144 14.069 0.156 WISE_W2
57312.53609144 14.563 0.077 WISE_W1
57312.66724969 14.006 0.258 WISE_W2
57312.66724969 13.923 0.167 WISE_W2
57312.66724969 14.699 0.078 WISE_W1
57312.79840799 14.04 0.173 WISE_W2
57312.79840799 14.679 0.081 WISE_W1
57312.9295663 14.78 0.099 WISE_W1
57312.9295663 13.918 0.171 WISE_W2
57312.92969366 14.641 0.079 WISE_W1
57312.92969366 14.731 0.395 WISE_W2
57312.92969366 16.58 0.392 WISE_W1
57312.92969366 14.063 0.146 WISE_W2
57312.92969366 14.747 0.542 WISE_W2
57312.99527273 13.907 0.137 WISE_W2
57312.99527273 14.671 0.079 WISE_W1
57313.06085191 14.94 0.112 WISE_W1
57313.06085191 14.216 0.266 WISE_W2
57313.12643109 14.423 0.208 WISE_W2
57313.12643109 14.731 0.082 WISE_W1
57313.25758934 14.937 0.106 WISE_W1
57313.25758934 14.186 0.192 WISE_W2
57313.38874764 13.982 0.178 WISE_W2
57313.38874764 14.811 0.112 WISE_W1
57313.51990589 14.708 0.083 WISE_W1
57313.51990589 13.872 0.195 WISE_W2
57477.13377802 14.017 0.183 WISE_W2
57477.13377802 14.535 0.076 WISE_W1
57477.26493645 14.077 0.157 WISE_W2
57477.26493645 14.905 0.089 WISE_W1
57477.3959675 14.091 0.181 WISE_W2
57477.3959675 14.525 0.07 WISE_W1
57477.46154674 14.604 0.072 WISE_W1
57477.46154674 13.973 0.187 WISE_W2
57477.5269986 14.091 0.161 WISE_W2
57477.5269986 14.764 0.097 WISE_W1
57477.59257784 14.098 0.162 WISE_W2
57477.59257784 14.721 0.088 WISE_W1
57477.65815703 14.589 0.08 WISE_W1
57477.65815703 14.321 0.18 WISE_W2
57477.72360894 14.537 0.085 WISE_W1
57477.72360894 14.005 0.134 WISE_W2
57477.85464005 14.586 0.109 WISE_W1
57477.85464005 14.378 0.207 WISE_W2
57477.85476736 14.205 0.158 WISE_W2
57477.85476736 14.597 0.081 WISE_W1
57477.85476736 16.293 0.307 WISE_W1
57477.98579841 14.557 0.07 WISE_W1
57477.98579841 14.515 0.261 WISE_W2
57478.11682956 14.813 0.095 WISE_W1
57478.11682956 14.068 0.15 WISE_W2
57676.66271917 14.118 0.214 WISE_W2
57676.66271917 15.153 0.252 WISE_W1
57676.7936231 13.907 0.15 WISE_W2
57676.7936231 14.964 0.099 WISE_W1
57676.92465443 14.747 0.084 WISE_W1
57677.05568568 14.324 0.225 WISE_W2
57677.05568568 14.776 0.086 WISE_W1
57677.12126501 14.69 0.09 WISE_W1
57677.12126501 13.86 0.133 WISE_W2
57677.18671692 14.569 0.281 WISE_W2
57677.18671692 15.035 0.115 WISE_W1
57677.25216894 14.203 0.201 WISE_W2
57677.25216894 14.708 0.105 WISE_W1
57677.31774826 13.92 0.148 WISE_W2
57677.31774826 14.823 0.114 WISE_W1
57677.38320023 15.14 0.141 WISE_W1
57677.38320023 14.131 0.264 WISE_W2
57677.51423156 14.781 0.112 WISE_W1
57677.51423156 14.244 0.25 WISE_W2
57677.64526277 14.012 0.18 WISE_W2
57677.64526277 14.895 0.101 WISE_W1
57769.5109796021 19.8864 0.0899187 PS_i
57837.68733367 13.943 0.127 WISE_W2
57837.68733367 14.764 0.082 WISE_W1
57837.81836501 14.592 0.08 WISE_W1
57837.81836501 13.909 0.134 WISE_W2
57837.94926909 14.686 0.078 WISE_W1
57837.94926909 14.19 0.2 WISE_W2
57838.01472115 14.057 0.156 WISE_W2
57838.01472115 15.033 0.112 WISE_W1
57838.08030053 14.453 0.215 WISE_W2
57838.08030053 14.934 0.102 WISE_W1
57838.14575259 14.873 0.096 WISE_W1
57838.14575259 14.167 0.153 WISE_W2
57838.21120461 14.717 0.083 WISE_W1
57838.21120461 14.361 0.186 WISE_W2
57838.27665662 14.011 0.153 WISE_W2
57838.27665662 14.868 0.089 WISE_W1
57838.40768801 14.719 0.081 WISE_W1
57838.40768801 14.143 0.175 WISE_W2
57838.53859208 14.837 0.092 WISE_W1
57838.53859208 14.211 0.18 WISE_W2
57838.66962347 14.704 0.274 WISE_W2
57838.66962347 14.838 0.089 WISE_W1
58043.75499492 14.805 0.089 WISE_W1
58043.75499492 14.126 0.187 WISE_W2
58043.88589832 14.277 0.255 WISE_W2
58043.88589832 14.885 0.105 WISE_W1
58044.01680238 15.17 0.212 WISE_W1
58044.01680238 14.114 0.172 WISE_W2
58044.08225413 14.405 0.242 WISE_W2
58044.08225413 14.856 0.105 WISE_W1
58044.08238145 14.415 0.267 WISE_W2
58044.08238145 14.702 0.137 WISE_W1
58044.14783315 14.841 0.091 WISE_W1
58044.14783315 14.092 0.178 WISE_W2
58044.21328485 14.624 0.3 WISE_W2
58044.21328485 14.815 0.09 WISE_W1
58044.27873655 14.83 0.091 WISE_W1
58044.27873655 14.709 0.36 WISE_W2
58044.3441883 14.76 0.087 WISE_W1
58044.3441883 14.372 0.214 WISE_W2
58044.47509175 14.884 0.324 WISE_W2
58044.47509175 14.946 0.122 WISE_W1
58044.60599515 14.672 0.098 WISE_W1
58044.60599515 14.26 0.187 WISE_W2
58044.73702587 14.655 0.387 WISE_W2
58044.73702587 14.987 0.1 WISE_W1
58198.26907672 14.91 0.093 WISE_W1
58198.26907672 14.008 0.144 WISE_W2
58198.39998061 14.894 0.166 WISE_W1
58198.39998061 14.623 0.27 WISE_W2
58198.53088444 14.895 0.112 WISE_W1
58198.53088444 14.021 0.146 WISE_W2
58198.59633632 14.794 0.083 WISE_W1
58198.59633632 14.131 0.154 WISE_W2
58198.66178828 14.909 0.096 WISE_W1
58198.66178828 14.169 0.216 WISE_W2
58198.7272402 14.118 0.207 WISE_W2
58198.7272402 15.003 0.11 WISE_W1
58198.79269216 14.839 0.088 WISE_W1
58198.79269216 14.362 0.208 WISE_W2
58198.85814413 14.574 0.085 WISE_W1
58198.85814413 14.386 0.253 WISE_W2
58198.98904796 14.116 0.174 WISE_W2
58198.98904796 14.649 0.086 WISE_W1
58199.11944253 14.318 0.235 WISE_W2
58199.11944253 14.848 0.108 WISE_W1
58199.25085573 14.95 0.098 WISE_W1
58199.25085573 15.002 0.417 WISE_W2
58407.89819146 14.28 0.213 WISE_W2
58407.89819146 14.726 0.086 WISE_W1
58408.02909488 14.863 0.095 WISE_W1
58408.02909488 14.55 0.245 WISE_W2
58408.15948885 14.289 0.226 WISE_W2
58408.15948885 14.894 0.094 WISE_W1
58408.29077422 14.59 0.369 WISE_W2
58408.29077422 14.741 0.091 WISE_W1
58408.35622591 14.837 0.093 WISE_W1
58408.35622591 14.689 0.287 WISE_W2
58408.42167756 14.81 0.109 WISE_W1
58408.42167756 13.688 0.182 WISE_W2
58408.48661993 14.377 0.232 WISE_W2
58408.48661993 14.947 0.099 WISE_W1
58408.55258094 14.536 0.237 WISE_W2
58408.55258094 14.955 0.097 WISE_W1
58408.61803262 14.206 0.191 WISE_W2
58408.61803262 15.094 0.112 WISE_W1
58408.748936 15.076 0.109 WISE_W1
58408.748936 14.291 0.281 WISE_W2
58408.87971206 14.397 0.305 WISE_W2
58408.87971206 14.663 0.314 WISE_W2
58408.87971206 14.971 0.107 WISE_W1
58469.5740435946 22.2383 0.340532 PS_w
58469.5746855535 22.2854 0.30414 PS_w
58469.5863351729 22.2569 0.30168 PS_w
58469.5869806939 22.3792 0.339879 PS_w
58469.5986708668 21.8753 0.18378 PS_w
58469.6116051603 22.669 0.497171 PS_w
58485.5278859432 22.1703 0.25996 PS_w
58485.5389199046 22.2477 0.363758 PS_w
58485.5402142429 22.4358 0.344542 PS_w
58485.5499538076 22.2431 0.238993 PS_w
58485.5512406092 22.2821 0.295002 PS_w
