MJD mag magerr band
56721.01288829 15.78 0.181 WISE_W1
56721.01288829 15.142 0.403 WISE_W2
56721.27635078 15.651 0.161 WISE_W1
56721.40801815 15.411 0.196 WISE_W1
56721.40801815 15.425 0.468 WISE_W2
56721.53981274 15.258 0.442 WISE_W2
56721.53981274 16.348 0.347 WISE_W1
56721.60564641 15.543 0.147 WISE_W1
56721.60564641 14.599 0.232 WISE_W2
56721.67148007 15.997 0.206 WISE_W1
56721.73731374 15.293 0.466 WISE_W2
56721.73731374 15.872 0.285 WISE_W1
56721.8031474 15.291 0.406 WISE_W2
56721.8031474 15.81 0.189 WISE_W1
56721.86910838 14.949 0.386 WISE_W2
56721.86910838 15.847 0.184 WISE_W1
56722.00077571 16.013 0.221 WISE_W1
56722.00077571 15.332 0.475 WISE_W2
56722.13244303 15.585 0.216 WISE_W1
56900.05013861 16.327 0.454 WISE_W1
56900.05013861 14.964 0.35 WISE_W2
56900.05013861 15.603 0.403 WISE_W1
56900.18180619 14.833 0.313 WISE_W2
56900.18180619 16.191 0.253 WISE_W1
56900.31334637 15.339 0.201 WISE_W1
56900.44488659 15.834 0.178 WISE_W1
56900.51059302 15.99 0.298 WISE_W1
56900.57642671 15.349 0.172 WISE_W1
56900.57642671 15.005 0.46 WISE_W2
56900.6421331 16.064 0.248 WISE_W1
56900.6421331 14.896 0.301 WISE_W2
56900.64226046 16.058 0.221 WISE_W1
56900.64226046 15.018 0.504 WISE_W2
56900.7079669 15.302 0.487 WISE_W2
56900.7079669 15.852 0.208 WISE_W1
56900.77380068 16.454 0.382 WISE_W1
56900.83950712 15.781 0.176 WISE_W1
56900.90534091 15.71 0.161 WISE_W1
56901.03688118 15.746 0.193 WISE_W1
56901.03688118 15.347 0.455 WISE_W2
56901.16842131 15.862 0.205 WISE_W1
56901.16842131 15.132 0.38 WISE_W2
56901.29996153 15.103 0.389 WISE_W2
56901.29996153 15.797 0.177 WISE_W1
56903.07594538 15.726 0.17 WISE_W1
56903.07594538 14.514 0.302 WISE_W2
56903.2074856 15.895 0.194 WISE_W1
56903.33902573 15.99 0.294 WISE_W1
56903.33902573 15.016 0.515 WISE_W2
56903.5363997 15.572 0.159 WISE_W1
56903.60210613 14.347 0.207 WISE_W2
