MJD mag magerr band
56736.33226729 14.734 0.099 WISE_W1
56736.46393462 14.961 0.489 WISE_W2
56736.46393462 14.71 0.12 WISE_W1
56736.59559873 14.401 0.212 WISE_W2
56736.59559873 14.533 0.078 WISE_W1
56736.66143238 14.928 0.333 WISE_W2
56736.66143238 14.777 0.09 WISE_W1
56736.72726598 14.667 0.077 WISE_W1
56736.72726598 14.5 0.244 WISE_W2
56736.79309964 14.674 0.099 WISE_W1
56736.85893329 14.548 0.071 WISE_W1
56736.85893329 14.468 0.218 WISE_W2
56736.85906065 14.408 0.223 WISE_W2
56736.85906065 14.734 0.081 WISE_W1
56736.92476699 14.726 0.09 WISE_W1
56736.92476699 15.344 0.487 WISE_W2
56736.92489431 14.822 0.092 WISE_W1
56736.92489431 14.578 0.355 WISE_W2
56737.05656161 14.851 0.371 WISE_W2
56737.05656161 14.595 0.076 WISE_W1
56737.18822891 14.648 0.098 WISE_W1
56737.18822891 14.54 0.246 WISE_W2
56737.31989622 14.417 0.068 WISE_W1
56927.76422348 14.917 0.322 WISE_W2
56927.76422348 14.807 0.087 WISE_W1
56927.8957636 14.286 0.225 WISE_W2
56927.8957636 14.683 0.078 WISE_W1
56928.02730367 14.677 0.268 WISE_W2
56928.02730367 14.762 0.087 WISE_W1
56928.15884374 14.302 0.232 WISE_W2
56928.15884374 14.783 0.087 WISE_W1
56928.22455 14.332 0.219 WISE_W2
56928.22455 14.812 0.089 WISE_W1
56928.29038372 14.562 0.073 WISE_W1
56928.29038372 14.353 0.238 WISE_W2
56928.35609007 14.741 0.085 WISE_W1
56928.35609007 14.601 0.308 WISE_W2
56928.42192378 14.616 0.265 WISE_W2
56928.42192378 14.682 0.085 WISE_W1
56928.48763019 14.465 0.066 WISE_W1
56928.48763019 14.651 0.304 WISE_W2
56928.61917021 14.868 0.412 WISE_W2
56928.61917021 14.709 0.087 WISE_W1
56928.75071028 14.522 0.072 WISE_W1
56928.75071028 14.732 0.258 WISE_W2
57095.3833553 14.503 0.232 WISE_W2
57095.3833553 14.724 0.103 WISE_W1
57095.51464073 14.381 0.236 WISE_W2
57095.51464073 14.617 0.087 WISE_W1
57095.51476804 14.668 0.081 WISE_W1
57095.51476804 14.92 0.332 WISE_W2
57095.64605347 14.384 0.213 WISE_W2
57095.64605347 14.626 0.109 WISE_W1
57095.71175988 14.731 0.091 WISE_W1
57095.77733895 14.736 0.294 WISE_W2
57095.77733895 14.859 0.103 WISE_W1
57095.84304536 14.861 0.392 WISE_W2
57095.84304536 14.553 0.076 WISE_W1
57095.90875178 14.334 0.242 WISE_W2
57095.90875178 14.511 0.085 WISE_W1
57095.97433088 14.524 0.077 WISE_W1
57095.97433088 14.579 0.323 WISE_W2
57096.10574367 14.737 0.31 WISE_W2
57096.10574367 14.486 0.088 WISE_W1
57096.2370291 14.566 0.089 WISE_W1
57096.2370291 14.991 0.37 WISE_W2
57096.36831451 14.62 0.087 WISE_W1
57096.36831451 14.214 0.169 WISE_W2
57289.70946478 14.726 0.093 WISE_W1
57289.70946478 14.82 0.34 WISE_W2
57289.840623 14.839 0.373 WISE_W2
57289.840623 14.981 0.139 WISE_W1
57289.97178131 14.709 0.086 WISE_W1
57289.97178131 15.017 0.34 WISE_W2
57290.10293962 14.751 0.096 WISE_W1
57290.10293962 14.149 0.22 WISE_W2
57290.10306693 14.594 0.241 WISE_W2
57290.10306693 14.597 0.076 WISE_W1
57290.16864606 14.771 0.086 WISE_W1
57290.16864606 14.754 0.29 WISE_W2
57290.2342252 14.822 0.097 WISE_W1
57290.2342252 15.155 0.508 WISE_W2
57290.29980428 14.247 0.217 WISE_W2
57290.29980428 14.534 0.074 WISE_W1
57290.43096255 14.658 0.084 WISE_W1
57290.43096255 14.293 0.234 WISE_W2
57290.56212081 14.511 0.281 WISE_W2
57290.56212081 14.681 0.169 WISE_W1
57290.69327907 14.851 0.375 WISE_W2
57290.69327907 14.521 0.074 WISE_W1
57290.69340639 14.756 0.086 WISE_W1
57290.69340639 14.621 0.267 WISE_W2
57454.45838966 14.636 0.096 WISE_W1
57454.45838966 14.41 0.241 WISE_W2
57454.58942078 14.613 0.085 WISE_W1
57454.58942078 14.55 0.237 WISE_W2
57454.72057977 14.833 0.086 WISE_W1
57454.72057977 14.387 0.223 WISE_W2
57454.78603163 14.838 0.095 WISE_W1
57454.78603163 14.346 0.231 WISE_W2
57454.85161087 14.505 0.069 WISE_W1
57454.85161087 14.527 0.255 WISE_W2
57454.9171901 14.792 0.087 WISE_W1
57454.9171901 15.379 0.448 WISE_W2
57454.98276934 14.546 0.13 WISE_W1
57454.98276934 14.475 0.229 WISE_W2
57455.04822122 14.652 0.101 WISE_W1
57455.04822122 14.647 0.219 WISE_W2
57455.17937969 14.142 0.152 WISE_W2
57455.17937969 14.863 0.095 WISE_W1
57455.31041074 14.242 0.187 WISE_W2
57455.31041074 14.613 0.072 WISE_W1
57463.56855458 14.675 0.36 WISE_W2
57463.56855458 14.561 0.078 WISE_W1
57653.73389968 14.694 0.088 WISE_W1
57653.86493086 14.553 0.081 WISE_W1
57653.99596204 14.694 0.091 WISE_W1
57654.12699317 14.589 0.085 WISE_W1
57654.12699317 14.763 0.436 WISE_W2
57654.19244508 14.728 0.097 WISE_W1
57654.19244508 14.478 0.332 WISE_W2
57654.19257244 14.665 0.411 WISE_W2
57654.19257244 14.557 0.085 WISE_W1
57656.74736223 14.411 0.232 WISE_W2
57656.74736223 14.651 0.08 WISE_W1
57656.87839346 14.854 0.098 WISE_W1
57656.87839346 14.437 0.22 WISE_W2
57657.00942464 14.319 0.248 WISE_W2
57657.00942464 14.621 0.087 WISE_W1
57657.07487655 14.971 0.348 WISE_W2
57657.07487655 14.58 0.075 WISE_W1
57657.14045578 14.206 0.292 WISE_W2
57657.14045578 14.672 0.09 WISE_W1
57657.20590764 14.4 0.257 WISE_W2
57657.20590764 14.854 0.094 WISE_W1
57657.27135955 15.185 0.442 WISE_W2
57657.27135955 14.777 0.112 WISE_W1
57657.27148691 14.769 0.088 WISE_W1
57657.27148691 14.101 0.178 WISE_W2
57657.33693882 14.152 0.184 WISE_W2
57657.33693882 14.576 0.078 WISE_W1
57657.46797006 14.585 0.343 WISE_W2
57657.46797006 14.717 0.116 WISE_W1
57657.59900113 14.721 0.088 WISE_W1
57657.73003222 14.604 0.247 WISE_W2
57657.73003222 15.333 0.219 WISE_W1
57818.04282203 14.635 0.092 WISE_W1
57818.04282203 14.152 0.227 WISE_W2
57818.17385328 14.864 0.135 WISE_W1
57818.17385328 14.431 0.312 WISE_W2
57818.30475715 14.613 0.094 WISE_W1
57818.30475715 14.217 0.265 WISE_W2
57818.30488447 14.701 0.495 WISE_W2
57818.30488447 14.634 0.092 WISE_W1
57820.53139698 14.276 0.255 WISE_W2
57820.53139698 14.528 0.082 WISE_W1
57820.66230086 14.941 0.116 WISE_W1
57820.79333215 14.332 0.3 WISE_W2
57820.79333215 14.657 0.101 WISE_W1
57820.92423603 14.622 0.095 WISE_W1
57820.92423603 14.631 0.357 WISE_W2
57820.98981534 14.71 0.535 WISE_W2
57820.98981534 14.674 0.093 WISE_W1
57821.05526727 14.342 0.312 WISE_W2
57821.05526727 14.635 0.085 WISE_W1
57821.12071926 14.082 0.234 WISE_W2
57821.12071926 14.81 0.119 WISE_W1
57821.25175045 14.54 0.306 WISE_W2
57821.25175045 14.869 0.1 WISE_W1
57821.38265428 14.73 0.289 WISE_W2
57821.38265428 14.515 0.074 WISE_W1
58020.84090545 14.658 0.081 WISE_W1
58020.84090545 14.646 0.272 WISE_W2
58020.97180888 14.676 0.082 WISE_W1
58020.97180888 15.27 0.517 WISE_W2
58021.10283956 14.776 0.124 WISE_W1
58021.10283956 14.789 0.297 WISE_W2
58021.23374294 14.419 0.07 WISE_W1
58021.29919459 14.89 0.1 WISE_W1
58021.36464631 14.44 0.226 WISE_W2
58021.36464631 14.632 0.083 WISE_W1
58021.43009797 14.596 0.078 WISE_W1
58021.43009797 14.718 0.311 WISE_W2
58021.49554971 14.719 0.087 WISE_W1
58021.49554971 14.833 0.33 WISE_W2
58021.56100138 14.803 0.09 WISE_W1
