MJD mag magerr band
58139.324 18.389700043360186 0.0 ATLAS_c
58479.324 18.62643503242205 0.0985732822025831 ATLAS_c
58499.324 18.36643223724515 0.0857496763061345 ATLAS_c
58519.324 17.775231242036405 0.0424939036251768 ATLAS_c
58699.324 17.84917301202848 0.08483492511125945 ATLAS_c
58719.324 17.980022755711076 0.02264936483736335 ATLAS_c
58739.324 17.944449059647077 0.051713563082365965 ATLAS_c
58759.324 18.088182737573195 0.048541942955885986 ATLAS_c
58779.324 18.03844817472941 0.06750775744456838 ATLAS_c
58819.324 18.30020195867027 0.19145338110544508 ATLAS_c
58839.324 18.31119433218405 0.04737386324158699 ATLAS_c
58859.324 18.342678224097384 0.0634925499858312 ATLAS_c
58134.34 19.719755355160704 0.0 ATLAS_o
58374.34 19.950541008457975 0.0 ATLAS_o
58474.34 19.047678320196965 0.20525794129218866 ATLAS_o
58494.34 18.293341871231146 0.2500886798163968 ATLAS_o
58514.34 17.943180551242385 0.18968473314442136 ATLAS_o
58534.34 17.602212142170252 0.2680221104752487 ATLAS_o
58654.34 17.404840751655684 0.08867597502047175 ATLAS_o
58674.34 17.50169240363145 0.10805388621612799 ATLAS_o
58694.34 17.54561220999911 0.08554187390859624 ATLAS_o
58714.34 17.61302747042916 0.07089418724611463 ATLAS_o
58734.34 17.726122908836366 0.24833082103736714 ATLAS_o
58754.34 17.754211273555722 0.048503759445965855 ATLAS_o
58774.34 17.8179043130037 0.08729630447568759 ATLAS_o
58794.34 17.857999569423214 0.08611944956705031 ATLAS_o
58814.34 17.904917360095645 0.062428102805096586 ATLAS_o
58834.34 17.959811639844638 0.0869903013342661 ATLAS_o
58854.34 17.992516156703008 0.041856161661664615 ATLAS_o
58874.34 18.110351625763595 0.13158274096829992 ATLAS_o
58894.34 18.118347967674136 0.13140297903749776 ATLAS_o
59914.34 16.016225026747904 0.0 ATLAS_o
59474.5270778203 19.1214 0.176472 PS_i
59474.5135751219 19.1821 0.120415 PS_i
59474.5002965494 19.1746 0.104677 PS_i
59474.4870483408 19.248 0.150308 PS_i
59211.3482603538 19.1327 0.144964 PS_i
59211.3363684962 19.202 0.190635 PS_i
59211.3243852513 19.0015 0.149835 PS_i
59211.3124934095 19.0599 0.131057 PS_i
59119.4614327586 18.4819 0.0277269 PS_i
59119.4491521072 18.451 0.023337 PS_i
57408.227611057 20.3822 0.264672 PS_i
59597.3031894699 19.8531 0.205871 PS_i
59597.2917308868 19.7684 0.182561 PS_i
59597.280191067 19.5947 0.0928876 PS_i
59597.2686101192 19.7484 0.125038 PS_i
59596.3058050059 19.5168 0.0963095 PS_i
59596.2936094161 19.48 0.095186 PS_i
59596.2814490828 19.5048 0.0820607 PS_i
59596.2693347455 19.3646 0.0668226 PS_i
59566.4066998885 19.5184 0.171391 PS_i
59566.3945456731 19.6268 0.219902 PS_i
59566.382432499 19.5896 0.242854 PS_i
59566.3702971997 19.655 0.26495 PS_i
59539.5105986055 19.5085 0.152931 PS_i
59539.4983604895 19.5711 0.151141 PS_i
59539.4861490302 19.4938 0.152048 PS_i
59539.4739467031 19.538 0.191448 PS_i
59513.4937972965 19.263 0.145022 PS_i
59513.4821688687 19.2328 0.13231 PS_i
59513.4705537958 19.3357 0.116789 PS_i
59513.4588939921 19.6538 0.14695 PS_i
59102.5797280548 18.5353 0.0738429 PS_i
59102.5674214126 18.5313 0.0630171 PS_i
59102.5550382073 18.5287 0.0603642 PS_i
59102.5427636982 18.5123 0.062499 PS_i
58777.5412256838 17.6611 0.0204116 PS_i
58777.5289841028 17.8951 0.0264365 PS_i
58738.89878469985 18.018388179241096 0.000756263748007413 PS_i
58746.87116899993 18.15103533095229 0.0013933389417903896 PS_i
58747.87789350003 17.998290643854617 0.0005702103890374843 PS_i
58750.84437499987 18.125408239701887 0.001429758802078851 PS_i
58757.85084490013 18.086966010000054 0.00047236979913556354 PS_i
58761.8276157002 18.139223808778 0.0006319915223507167 PS_i
58765.826805599965 18.02067283380014 0.0006513397367502449 PS_i
58769.7807755 17.962246623921867 0.003933513783625386 PS_i
60207.4658443597 20.2973 0.0924201 PS_w
60207.4542909112 20.2985 0.112656 PS_w
60207.4427522188 20.2963 0.0991276 PS_w
59544.3045334695 19.5417 0.0192573 PS_w
59544.2915606959 19.515 0.0189652 PS_w
59544.2786452439 19.4688 0.019045 PS_w
59544.2657181178 19.5321 0.0218887 PS_w
59525.4503230349 19.5513 0.0336537 PS_w
59525.4385389642 19.5122 0.0266349 PS_w
59525.4267020398 19.5653 0.0394321 PS_w
59525.4148389147 19.5543 0.037326 PS_w
59517.5068831909 19.5424 0.0518239 PS_w
59517.5062363277 19.5348 0.0506739 PS_w
59517.3901569041 19.5049 0.0499423 PS_w
59513.570087938 19.5437 0.0818192 PS_w
59513.5694463501 19.5581 0.0864744 PS_w
59500.4922972084 19.4483 0.0493618 PS_w
59500.4806074836 19.4239 0.045898 PS_w
59500.4689662228 19.5349 0.0575718 PS_w
59500.4573236179 19.454 0.0657445 PS_w
59246.2869649056 19.0942 0.0482673 PS_w
59246.2738408693 19.0938 0.0422697 PS_w
59246.2607802013 19.0212 0.0306363 PS_w
59246.247682964 19.0561 0.0335398 PS_w
59170.4343092075 19.0442 0.0375122 PS_w
59170.421546327 18.9855 0.0305584 PS_w
59170.4087649883 19.0718 0.0412037 PS_w
59170.3960239696 19.0056 0.0366023 PS_w
59141.5180263505 18.8968 0.0300415 PS_w
