MJD mag magerr band
60034.5479019969 18.413 0.0529288 PS_i
60042.5904199979 18.3945 0.109592 PS_i
60064.4834986325 18.2917 0.0297375 PS_i
60064.4950871813 18.2912 0.0279739 PS_i
60064.5066617006 18.2812 0.0337279 PS_i
60064.5182456663 18.2735 0.0328984 PS_i
60066.4839410008 18.1756 0.0450637 PS_i
60066.4961532241 18.2907 0.0517172 PS_i
60066.501151957 18.3516 0.048326 PS_i
60066.5083692124 18.2702 0.0461788 PS_i
60066.511332639 18.3265 0.0360538 PS_i
60066.5205687592 18.2657 0.0362354 PS_i
60066.5215063104 18.3848 0.0489786 PS_i
60066.5317533598 18.3293 0.0546826 PS_i
60067.5137229575 18.31 0.0459478 PS_i
60067.5233911424 18.3464 0.0572202 PS_i
60067.533040199 18.3659 0.0641547 PS_i
60067.542676664 18.4187 0.0736779 PS_i
60072.5462643193 18.3482 0.0542366 PS_i
60072.5666927522 18.2917 0.0679778 PS_i
60072.5676177437 18.2917 0.0417638 PS_i
60072.5768801896 18.3469 0.0612772 PS_i
60072.5785616008 18.2627 0.0431352 PS_i
60072.5894847425 18.2693 0.0704963 PS_i
60072.6015531244 18.1988 0.0567906 PS_i
60074.5252061981 18.2365 0.0472526 PS_i
60074.5374808117 18.2843 0.0486204 PS_i
60074.549690268 18.238 0.0369321 PS_i
60074.5619010338 18.1675 0.0353544 PS_i
60075.5238443413 18.2402 0.0221864 PS_i
60075.5341334805 18.2052 0.0262216 PS_i
60075.5444120223 18.2061 0.0246587 PS_i
60075.5546977534 18.2092 0.0247082 PS_i
60102.4506528899 18.2854 0.0539685 PS_i
60102.4628459507 18.3 0.0393213 PS_i
60102.4750508679 18.2783 0.0238813 PS_i
60102.4872579929 18.2865 0.0294781 PS_i
60103.4478455898 18.3807 0.0800516 PS_i
60103.459412504 18.3374 0.0715619 PS_i
60103.4710023906 18.2797 0.0284169 PS_i
60103.4827389633 18.274 0.0296224 PS_i
60103.4942117524 18.2724 0.0338376 PS_i
60103.505190807 18.2149 0.0307781 PS_i
60103.5162486927 18.3063 0.0781594 PS_i
60103.5272438517 18.3293 0.0807976 PS_i
60104.5395502363 18.3385 0.101161 PS_i
60104.5503937616 18.4511 0.076523 PS_i
