 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
24 ZTF17aadqfyl AGN 58547.72208999982 59219.75413190015 60397.70473380014 60 107 0.001 2e-05 0.65715 53 73 0.00117 3e-05 0.72777
32 ZTF18aaaibua AGN 58425.981860000174 59275.82583330013 59914.96586810006 54 70 0.00179 6e-05 0.91104 82 75 0.00182 9e-05 0.84617
37 ZTF18aaajvfv AGN 58307.72839119984 59300.841550900135 60398.83969909977 131 74 0.00172 4e-05 0.60193 108 63 0.00126 5e-05 0.51885
41 ZTF18aaaqgan AGN 58466.0177000002 59200.949849499855 60374.92179400008 47 94 0.00059 3e-05 0.73816 21 52 0.00057 6e-05 0.50848
99 ZTF18aacvzqi AGN 58736.98761569988 59255.71756940009 60403.82175929984 88 141 0.00077 2e-05 0.85519 99 133 0.00074 3e-05 0.88448
100 ZTF18aacvzwt AGN 58743.02504999982 59255.71756940009 60397.80732640019 26 140 0.00077 2e-05 0.84635 90 126 0.00074 3e-05 0.89612
111 ZTF18aadcima AGN 58864.735679999925 59899.9652315001 60354.84947919985 86 55 0.00106 8e-05 0.5324 104 52 0.00097 0.0001 0.61166
186 ZTF18aafecui AGN 58806.9871100001 59328.69740739977 60293.99861110002 146 54 0.00138 6e-05 0.83551 127 146 0.00142 7e-05 0.64377
196 ZTF18aafodqj AGN 58424.01903000008 59128.01116900006 60397.73791670008 46 144 0.00093 2e-05 0.84767 57 200 0.00084 2e-05 0.7836
318 ZTF18aaqwnho AGN 58308.69909719983 59683.88237270014 60355.98725689994 277 94 0.00292 6e-05 0.6512 266 93 0.00276 6e-05 0.64909
332 ZTF18aarmvye AGN 58831.07172450004 59200.97958330018 60353.93312499998 79 188 0.00089 2e-05 0.74531 74 172 0.00085 3e-05 0.69131
335 ZTF18aarntmx AGN 58482.9753899998 59303.859375 60351.871944400016 52 60 0.00079 5e-05 0.51714 23 83 0.0011 5e-05 0.60531
349 ZTF18aastmqw AGN 58431.03026620019 58695.70717590023 59345.82348380005 42 149 0.00122 6e-05 0.60898 72 171 0.00174 4e-05 0.82575
373 ZTF18aauupmr AGN 58270.75 59207.05238430016 60355.91958330013 83 91 0.0011 5e-05 0.72993 76 112 0.00099 6e-05 0.52993
415 ZTF18aawvilc AGN 58273.0 59670.887928199954 60262.65888890019 231 125 0.00208 5e-05 0.63752 172 100 0.00242 6e-05 0.57581
461 ZTF18aazgneo AGN 58279.685636600014 59280.73734949995 60403.80864580022 105 119 0.00086 3e-05 0.62719 104 113 0.00085 3e-05 0.66406
688 ZTF18absaxmn AGN 58361.74224539986 59423.84079860011 60064.97241900023 277 101 0.00219 6e-05 0.83932 185 118 0.00189 5e-05 0.83551
