 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
99 ZTF18aacvzqi AGN 58736.98761569988 59255.71756940009 60403.82175929984 88 141 0.00077 2e-05 0.85519 99 133 0.00074 3e-05 0.88448
245 ZTF18aaikalw AGN 58276.76121529983 59375.7429860998 59766.72372689983 89 44 0.00216 0.0001 0.92248 121 36 0.00231 0.00012 0.91865
770 ZTF18abvjybk AGN 58373.86221060017 59937.76062500011 60261.701747700106 229 20 0.00691 0.00024 0.90461 178 48 0.00803 0.00026 0.90994
811 ZTF18abxftqm SN 58379.89064810006 58426.82545140013 58749.82229170017 3 37 0.00706 0.00016 0.95608 2 22 0.00723 0.00023 0.97165
2679 ZTF19abjgazt NT 58692.98549770005 59795.92211809987 60341.6442477 76 87 0.00248 6e-05 0.86351 77 47 0.00221 9e-05 0.89971
2876 ZTF19abrjtbw AGN 58721.95685000019 59795.933252300136 60353.65623839991 95 83 0.00252 6e-05 0.90456 97 58 0.00249 0.00011 0.87157
3202 ZTF19acvijou AGN 58785.81882000016 59867.7720718002 60287.66175930016 93 53 0.00202 9e-05 0.88086 75 73 0.0018 7e-05 0.88776
4000 ZTF20aauowyg AGN 58914.9635999999 59356.81185190007 60392.03393519996 74 134 0.0012 3e-05 0.86425 78 139 0.00123 4e-05 0.8862
4880 ZTF20abwsnzg AGN 59057.92145999987 59858.82204859983 60353.62315970007 80 66 0.00212 7e-05 0.91775 71 65 0.00199 8e-05 0.85712
5000 ZTF20accsnzc AGN 59084.978159700055 59905.71049770014 60231.880740699824 42 27 0.00449 0.00015 0.89898 31 18 0.00515 0.00038 0.88114
5086 ZTF20achpcvt NT 59204.01131939981 59204.03900460014 59425.72472220007 0 56 0.01233 0.00023 0.90626 0 23 0.01838 0.00057 0.96849
6716 ZTF21abmplzd AGN 59382.91770830005 59855.64693289995 60234.62807870004 43 27 0.00396 0.00015 0.94166 48 36 0.00334 0.00012 0.94651
7655 ZTF22aadesap SN 59673.844722200185 59784.75949069997 60391.90858800011 45 85 0.0027 8e-05 0.90037 40 79 0.00232 8e-05 0.91484
11216 ZTF18accrnou AGN 58397.83759000013 59099.897060200106 59819.98098379979 8 64 0.00196 6e-05 0.88826 36 18 0.00248 0.00017 0.86304
11409 ZTF18acvvudh SN 58450.87953000004 58547.69083329989 59531.91640050011 9 61 0.00211 5e-05 0.88331 12 82 0.00184 4e-05 0.86539
11454 ZTF18acwzfao AGN 58477.03711999999 59958.053310200106 60391.91628469992 164 55 0.00323 0.00017 0.93605 199 58 0.00205 0.00014 0.85231
11854 ZTF19aamcvkt AGN 58526.97355999984 60056.93454860011 60355.96290510008 131 38 0.00315 0.00021 0.92353 149 46 0.00273 0.00017 0.8894
