 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
99 ZTF18aacvzqi AGN 58736.98761569988 59255.71756940009 60403.82175929984 88 141 0.00077 2e-05 0.85519 99 133 0.00074 3e-05 0.88448
2679 ZTF19abjgazt NT 58692.98549770005 59795.92211809987 60341.6442477 76 87 0.00248 6e-05 0.86351 77 47 0.00221 9e-05 0.89971
2876 ZTF19abrjtbw AGN 58721.95685000019 59795.933252300136 60353.65623839991 95 83 0.00252 6e-05 0.90456 97 58 0.00249 0.00011 0.87157
3202 ZTF19acvijou AGN 58785.81882000016 59867.7720718002 60287.66175930016 93 53 0.00202 9e-05 0.88086 75 73 0.0018 7e-05 0.88776
4000 ZTF20aauowyg AGN 58914.9635999999 59356.81185190007 60392.03393519996 74 134 0.0012 3e-05 0.86425 78 139 0.00123 4e-05 0.8862
4880 ZTF20abwsnzg AGN 59057.92145999987 59858.82204859983 60353.62315970007 80 66 0.00212 7e-05 0.91775 71 65 0.00199 8e-05 0.85712
7655 ZTF22aadesap SN 59673.844722200185 59784.75949069997 60391.90858800011 45 85 0.0027 8e-05 0.90037 40 79 0.00232 8e-05 0.91484
11216 ZTF18accrnou AGN 58397.83759000013 59099.897060200106 59819.98098379979 8 64 0.00196 6e-05 0.88826 36 18 0.00248 0.00017 0.86304
11409 ZTF18acvvudh SN 58450.87953000004 58547.69083329989 59531.91640050011 9 61 0.00211 5e-05 0.88331 12 82 0.00184 4e-05 0.86539
11454 ZTF18acwzfao AGN 58477.03711999999 59958.053310200106 60391.91628469992 164 55 0.00323 0.00017 0.93605 199 58 0.00205 0.00014 0.85231
12003 ZTF19aaprezk AGN 58574.9850300001 59151.66228009993 60285.633506900165 89 220 0.0016 2e-05 0.89401 90 244 0.00149 2e-05 0.89589
12197 ZTF19aasfxbp AGN 58616.77321999986 59637.92146989983 60165.7345718001 95 38 0.0025 0.00013 0.88454 90 74 0.00208 7e-05 0.86536
13203 ZTF19adddzii AGN 59459.8147454001 59810.79456020007 60290.62737269979 76 49 0.00284 0.00015 0.88166 40 65 0.00215 7e-05 0.89257
13640 ZTF20aapxajk AGN 58939.68164000008 59627.9556481 60398.73835649993 101 82 0.00144 5e-05 0.90154 94 62 0.00147 6e-05 0.86444
14652 ZTF20achvpct AGN 59124.97807000019 59859.001296299975 60403.64918980002 77 52 0.00187 8e-05 0.87665 72 55 0.00205 8e-05 0.91381
19414 ZTF18acbxsyl AGN 58423.740790000185 59780.92166669993 60287.627488399856 44 82 0.0019 6e-05 0.92193 40 62 0.00172 7e-05 0.89862
19558 ZTF18acszhqa AGN 58428.8308199998 59103.02337960014 59991.66939810012 60 133 0.00184 3e-05 0.89423 64 126 0.0018 3e-05 0.88512
19563 ZTF18acugmwi AGN 58642.92159719998 59862.81697920011 60291.610115699936 143 64 0.00203 8e-05 0.85881 136 63 0.00217 8e-05 0.91438
20058 ZTF19aaozooc AGN 58557.831879999954 59188.060624999925 60109.70822919998 23 82 0.00183 5e-05 0.9456 27 105 0.00142 4e-05 0.87385
21148 ZTF19adcqykk AGN 59459.76134259999 59744.947164400015 60284.63341439981 23 120 0.00159 5e-05 0.8732 67 99 0.00171 7e-05 0.88458
22170 ZTF20abvatsy AGN 59064.95875000022 59851.94967589993 60325.734895799775 97 84 0.00216 6e-05 0.86029 124 87 0.00212 7e-05 0.89776
22256 ZTF20acbbsve AGN 59095.79295000015 59802.90083329985 60291.6242244998 45 62 0.00119 7e-05 0.87366 43 59 0.00098 7e-05 0.88113
22437 ZTF20aclhxoq AGN 59128.97354000015 59882.98907409981 60403.778553199954 99 75 0.00186 7e-05 0.86958 173 100 0.00167 8e-05 0.8544
24234 ZTF22aakkilt AGN 59689.78278939985 59897.851331000216 60354.84947919985 17 55 0.00307 8e-05 0.94368 22 63 0.00187 9e-05 0.85071
25813 ZTF18aaybrlv AGN 58880.00646999991 59679.79800930014 60117.82053240016 114 82 0.00325 8e-05 0.94452 115 69 0.00361 0.00014 0.90503
26114 ZTF18acdwwql SN 58427.60643999977 59793.7894444 60179.73623839999 50 43 0.0027 0.00012 0.87475 28 55 0.00246 9e-05 0.85579
26289 ZTF18aczvdam AGN 58708.97475690022 59843.94645830011 60379.63653940009 138 85 0.0017 6e-05 0.90175 131 80 0.00136 6e-05 0.868
26934 ZTF19aaynnaj AGN 58643.93850689987 59753.91899310006 60255.62688660016 47 74 0.00211 7e-05 0.91129 72 38 0.00242 0.00011 0.93811
27493 ZTF20aaczvmk AGN 58823.92806999991 59272.66528940015 59689.67799769994 43 43 0.00272 0.00011 0.92965 52 53 0.00243 0.00012 0.88095
28574 ZTF21aabypln AGN 59194.02847220004 59639.805659700185 60151.707314800005 149 167 0.00247 5e-05 0.88987 123 150 0.00202 5e-05 0.87895
29375 ZTF21acfjviv AGN 59484.00984949991 59629.9093865999 60352.94879630022 27 156 0.0017 4e-05 0.9149 29 209 0.00136 4e-05 0.85346
29634 ZTF22aafujzv SN 59673.844722200185 59784.75949069997 60398.90508100018 42 83 0.00277 9e-05 0.89418 39 82 0.00233 8e-05 0.90725
30787 ZTF18aaulefp AGN 58281.79116899986 59217.99284720002 59710.93087959988 121 122 0.00238 6e-05 0.8587 119 107 0.00269 8e-05 0.91538
31043 ZTF18acejxql AGN 58400.72265999997 59739.94974539988 59956.637280100025 32 57 0.00411 0.00025 0.86698 33 61 0.0036 0.00022 0.88518
31097 ZTF18acvgwha AGN 58442.00466000009 59395.74733800022 60117.76928240014 157 63 0.00363 6e-05 0.93632 162 34 0.00405 0.0002 0.93573
33670 ZTF22aaaeons AGN 59601.02145829983 59693.81487269979 60143.702997699846 5 52 0.0035 8e-05 0.94956 12 44 0.00325 0.0001 0.96528
34503 ZTF18aacjtlo AGN 58423.01329000015 59450.00283560017 60357.80160879996 312 105 0.00498 6e-05 0.95479 335 236 0.00385 3e-05 0.92991
